# wavelength flux
3474.82778 -1.71560e-19
3476.29406 3.11974e-19
3477.77038 1.66477e-17
3479.23666 3.16624e-17
3480.70294 2.03553e-18
3482.17926 2.51870e-18
3483.64554 8.09679e-19
3485.11182 -1.22952e-18
3486.58814 3.82736e-18
3488.05442 2.74389e-18
3489.53074 1.49730e-19
3490.99701 1.82466e-18
3492.46329 2.00708e-18
3493.93961 3.28248e-18
3495.40589 1.85608e-17
3496.87217 2.01649e-17
3498.34849 -2.31120e-18
3499.81477 2.81492e-18
3501.28105 1.51102e-19
3502.75737 -3.85666e-18
3504.22365 -4.20975e-18
3505.69997 1.12788e-18
3507.16624 4.17672e-18
3508.63252 1.61531e-18
3510.10884 -1.06670e-18
3511.57512 1.56459e-21
3513.04140 -1.35544e-18
3514.51772 2.19557e-19
3515.98400 3.02133e-18
3517.45028 1.06268e-18
3518.92660 -1.27257e-18
3520.39288 -1.82174e-18
3521.86920 1.68175e-17
3523.33547 3.26571e-17
3524.80175 2.17777e-17
3526.27807 5.87627e-18
3527.74435 3.28993e-18
3529.21063 3.41346e-18
3530.68695 5.58217e-18
3532.15323 2.05500e-18
3533.61951 -3.75775e-19
3535.09583 1.34844e-18
3536.56211 2.16332e-18
3538.03843 4.60831e-18
3539.50470 3.33360e-18
3540.97098 6.54708e-19
3542.44730 -2.14947e-18
3543.91358 6.09070e-19
3545.37986 1.93763e-18
3546.85618 -1.02513e-18
3548.32246 1.33908e-18
3549.78874 3.26937e-18
3551.26506 4.27843e-19
3552.73134 2.67797e-18
3554.20766 6.72568e-18
3555.67393 3.26925e-18
3557.14021 6.42650e-19
3558.61653 2.72358e-18
3560.08281 6.44001e-18
3561.54909 1.88711e-18
3563.02541 6.26694e-18
3564.49169 9.69532e-18
3565.95797 7.96759e-19
3567.43429 1.12216e-18
3568.90057 2.39193e-18
3570.37689 2.57465e-18
3571.84317 2.33028e-18
3573.30944 3.97412e-18
3574.78576 4.57807e-18
3576.25204 3.69307e-18
3577.71832 2.88766e-18
3579.19464 2.37330e-18
3580.66092 1.66371e-18
3582.12720 4.48188e-18
3583.60352 3.24747e-18
3585.06980 1.08017e-18
3586.54612 4.47279e-18
3588.01240 4.80097e-18
3589.47867 3.65319e-18
3590.95499 4.07904e-18
3592.42127 7.12990e-18
3593.88755 4.15458e-18
3595.36387 1.04230e-18
3596.83015 3.39650e-18
3598.29643 4.34056e-18
3599.77275 3.41587e-18
3601.23903 3.44737e-18
3602.71535 5.80591e-18
3604.18162 3.91933e-18
3605.64790 6.27825e-18
3607.12422 4.67679e-18
3608.59050 2.04921e-18
3610.05678 3.17489e-18
3611.53310 2.57411e-18
3612.99938 3.37744e-18
3614.46566 2.89175e-18
3615.94198 2.06222e-18
3617.40826 1.12663e-17
3618.88458 4.49659e-18
3620.35085 2.14253e-19
3621.81713 2.94827e-18
3623.29345 2.14109e-18
3624.75973 2.88699e-18
3626.22601 2.12917e-18
3627.70233 2.49143e-18
3629.16861 2.51071e-18
3630.63489 3.31328e-18
3632.11121 3.79286e-18
3633.57749 1.51687e-17
3635.05381 1.08503e-17
3636.52008 3.41353e-18
3637.98636 8.59858e-19
3639.46268 -1.46375e-19
3640.92896 8.14746e-19
3642.39524 3.18756e-18
3643.87156 5.28782e-19
3645.33784 1.67062e-18
3646.80412 6.79097e-18
3648.28044 2.61829e-18
3649.74672 -9.53671e-19
3651.22304 2.50831e-18
3652.68932 1.48433e-18
3654.15559 2.44321e-18
3655.63191 2.90767e-18
3657.09819 2.20349e-19
3658.56447 1.35645e-18
3660.04079 1.17711e-18
3661.50707 1.97205e-18
3662.97335 2.97270e-18
3664.44967 5.89807e-18
3665.91595 3.76003e-18
3667.39227 4.35607e-18
3668.85855 5.15864e-18
3670.32482 2.66195e-18
3671.80114 1.22879e-18
3673.26742 6.28959e-18
3674.73370 8.35711e-18
3676.21002 3.23380e-18
3677.67630 4.73725e-18
3679.14258 5.32941e-18
3680.61890 2.72244e-18
3682.08518 3.90880e-18
3683.56150 6.47501e-18
3685.02778 4.92647e-18
3686.49405 2.31976e-18
3687.97037 4.39735e-18
3689.43665 7.39293e-18
3690.90293 1.03753e-17
3692.37925 9.49846e-18
3693.84553 4.82650e-18
3695.31181 2.27231e-18
3696.78813 2.10191e-18
3698.25441 6.25599e-18
3699.73073 6.42118e-18
3701.19700 5.86894e-18
3702.66328 4.08015e-18
3704.13960 7.37203e-18
3705.60588 9.45896e-18
3707.07216 8.23448e-18
3708.54848 5.67460e-18
3710.01476 3.42022e-18
3711.48104 4.46478e-18
3712.95736 4.63714e-18
3714.42364 2.04355e-18
3715.89996 2.69463e-18
3717.36623 2.84461e-18
3718.83251 3.33038e-18
3720.30883 3.31609e-18
3721.77511 4.09128e-18
3723.24139 2.17016e-18
3724.71771 2.23082e-18
3726.18399 2.29149e-18
3727.65027 2.45774e-18
3729.12659 2.62398e-18
3730.59287 2.79020e-18
3732.06919 2.95642e-18
3733.53546 3.12262e-18
3735.00174 3.28881e-18
3736.47806 3.45499e-18
3737.94434 3.62116e-18
3739.41062 3.78735e-18
3740.88694 3.95350e-18
3742.35322 4.11963e-18
3743.81950 4.28573e-18
3745.29582 4.45185e-18
3746.76210 4.61795e-18
3748.23842 4.78405e-18
3749.70469 4.95013e-18
3751.17097 5.11623e-18
3752.64729 5.28229e-18
3754.11357 5.44835e-18
3755.57985 5.61439e-18
3757.05617 5.78042e-18
3758.52245 5.94644e-18
3759.98873 6.11245e-18
3761.46505 6.27845e-18
3762.93133 6.44443e-18
3764.40765 1.96750e-18
3765.87392 6.25506e-19
3767.34020 2.11981e-18
3768.81652 5.73434e-18
3770.28280 5.76527e-18
3771.74908 2.76177e-18
3773.22540 4.81968e-18
3774.69168 4.82214e-18
3776.15796 1.33015e-18
3777.63428 3.43157e-18
3779.10056 3.98909e-18
3780.57688 3.18229e-18
3782.04315 2.96109e-18
3783.50943 2.41784e-18
3784.98575 1.85450e-18
3786.45203 2.18527e-18
3787.91831 2.09865e-18
3789.39463 2.67780e-18
3790.86091 3.58452e-18
3792.32719 2.71748e-18
3793.80351 2.07379e-18
3795.26979 1.98861e-18
3796.74611 4.65801e-18
3798.21238 3.59721e-18
3799.67866 1.85795e-18
3801.15498 2.33457e-18
3802.62126 2.72464e-18
3804.08754 5.83678e-18
3805.56386 4.16761e-18
3807.03014 1.59142e-18
3808.49642 1.92289e-18
3809.97274 2.65950e-18
3811.43902 2.51830e-18
3812.91534 1.38541e-18
3814.38162 6.39986e-19
3815.84789 1.01959e-18
3817.32421 2.06128e-18
3818.79049 1.36023e-18
3820.25677 1.86486e-18
3821.73309 2.55903e-18
3823.19937 1.40025e-18
3824.66565 1.66527e-18
3826.14197 3.54382e-18
3827.60825 1.89455e-18
3829.08457 3.40522e-18
3830.55084 1.51340e-18
3832.01712 2.05258e-18
