56608.5 1.23481e-15 1.36476e-16 BessellR
56608.5 7.906789999999999e-16 1.52931e-16 BessellI
56608.5 2.1716999999999998e-15 1.60017e-16 BessellV
56615.5 2.95938e-15 8.17705e-17 SDSS_r
56615.5 2.03986e-15 7.515119999999999e-17 SDSS_i
56618.5 3.01717e-15 1.1115700000000001e-16 BessellR
56618.5 2.02302e-15 7.453079999999999e-17 BessellI
56618.5 4.29339e-15 1.5817399999999998e-16 BessellV
56618.5 4.10771e-15 2.6483400000000003e-16 BessellB
56619.5 4.3013e-15 3.16932e-16 BessellB
56619.5 3.4641800000000002e-15 1.27625e-16 BessellR
56619.5 4.62168e-15 1.70269e-16 BessellV
56619.5 2.17771e-15 8.02298e-17 BessellI
56620.5 3.59418e-15 9.93109e-17 BessellR
56620.5 2.23872e-15 6.18581e-17 BessellI
56620.5 4.032739999999999e-15 2.22857e-16 BessellB
56620.5 4.4957299999999994e-15 2.07036e-16 BessellV
56621.5 4.33311e-15 1.5963799999999998e-16 BessellV
56621.5 3.07327e-15 1.69835e-16 BessellR
56621.5 3.64418e-15 4.36334e-16 BessellB
56621.5 2.13796e-15 1.3784e-16 BessellI
56622.5 2.17771e-15 8.02298e-17 BessellI
56622.5 3.6779e-15 2.0324800000000001e-16 BessellB
56622.5 3.1303999999999997e-15 1.4416e-16 BessellR
56622.5 4.53733e-15 1.2537100000000002e-16 BessellV
56624.5 3.36977e-15 9.31101e-17 BessellR
56624.5 3.05915e-15 2.53582e-16 BessellB
56624.5 4.0625599999999995e-15 1.4967e-16 BessellV
56624.5 2.34423e-15 6.477340000000001e-17 BessellI
56625.5 2.78997e-15 2.82663e-16 BessellB
56625.5 3.98841e-15 2.57142e-16 BessellV
56625.5 3.36977e-15 9.31101e-17 BessellR
56625.5 2.3014399999999998e-15 1.05985e-16 BessellI
56631.5 2.00447e-15 2.58466e-16 BessellI
56631.5 2.6351199999999997e-15 3.1551400000000004e-16 BessellV
56631.5 2.75169e-15 2.28096e-16 BessellR
56633.4 1.37278e-15 2.52875e-17 BessellB
56633.4 1.89496e-15 5.23597e-17 SDSS_i
56633.4 2.60136e-15 7.187819999999999e-17 SDSS_r
56633.4 2.33776e-15 4.3063100000000006e-17 BessellV
56633.5 1.86037e-15 6.85387e-17 SDSS_i
56633.5 1.3601900000000001e-15 3.75835e-17 BessellB
56633.5 2.60136e-15 1.19797e-16 SDSS_r
56633.5 2.31633e-15 6.40025e-17 BessellV
56634.4 2.62543e-15 2.41811e-17 SDSS_r
56634.4 1.93019e-15 1.77777e-17 SDSS_i
