,obsHistID,long_filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth,EBV_MW,zp
0,127633,LSST_g,59753.208268,1000,5.718053,-0.674641,24.241311,0.02204187731895163,20.80042234244885
1,127670,LSST_g,59753.225609,1000,5.718053,-0.674641,24.160844,0.02204187731895163,20.80042234244885
2,136947,LSST_z,59769.276675,1000,5.718053,-0.674641,23.21587,0.02204187731895163,22.098458212867378
3,136993,LSST_z,59769.299544,1000,5.718053,-0.674641,23.36435,0.02204187731895163,22.098458212867378
4,137990,LSST_y,59770.268672,1000,5.718053,-0.674641,21.767917,0.02204187731895163,22.33345052774694
5,141215,LSST_y,59773.276647,1000,5.718053,-0.674641,21.812779,0.02204187731895163,22.33345052774694
6,141222,LSST_y,59773.279951,1000,5.718053,-0.674641,21.839962,0.02204187731895163,22.33345052774694
7,141392,LSST_y,59773.357515,1000,5.718053,-0.674641,21.876416,0.02204187731895163,22.33345052774694
8,145484,LSST_y,59777.305047,1000,5.718053,-0.674641,21.064121,0.02204187731895163,22.33345052774694
9,145487,LSST_y,59777.317169,1000,5.718053,-0.674641,21.145411,0.02204187731895163,22.33345052774694
10,145520,LSST_y,59777.332157,1000,5.718053,-0.674641,21.072341,0.02204187731895163,22.33345052774694
11,145538,LSST_y,59777.340344,1000,5.718053,-0.674641,21.073982,0.02204187731895163,22.33345052774694
12,145756,LSST_y,59777.438488,1000,5.718053,-0.674641,21.237192,0.02204187731895163,22.33345052774694
13,146825,LSST_y,59778.441222,1000,5.718053,-0.674641,20.909705,0.02204187731895163,22.33345052774694
14,147453,LSST_z,59779.248287,1000,5.718053,-0.674641,22.534023,0.02204187731895163,22.098458212867378
15,147489,LSST_z,59779.265844,1000,5.718053,-0.674641,22.527325,0.02204187731895163,22.098458212867378
16,159085,LSST_u,59791.108313,1000,5.718053,-0.674641,23.049245,0.02204187731895163,20.22199548943686
17,159985,LSST_r,59793.117837,1000,5.718053,-0.674641,23.857941,0.02204187731895163,21.362977237419194
18,160024,LSST_r,59793.1384,1000,5.718053,-0.674641,24.091621,0.02204187731895163,21.362977237419194
19,160178,LSST_i,59793.255909,1000,5.718053,-0.674641,23.492241,0.02204187731895163,21.788095142392795
20,160228,LSST_i,59793.282932,1000,5.718053,-0.674641,23.431922,0.02204187731895163,21.788095142392795
21,165456,LSST_z,59801.193545,1000,5.718053,-0.674641,22.185541,0.02204187731895163,22.098458212867378
22,165490,LSST_z,59801.209276,1000,5.718053,-0.674641,22.068655,0.02204187731895163,22.098458212867378
23,169363,LSST_y,59805.135807,1000,5.718053,-0.674641,21.98615,0.02204187731895163,22.33345052774694
24,172142,LSST_g,59808.070087,1000,5.718053,-0.674641,24.651557,0.02204187731895163,20.80042234244885
25,172175,LSST_g,59808.08544,1000,5.718053,-0.674641,24.763804,0.02204187731895163,20.80042234244885
26,173301,LSST_r,59809.187077,1000,5.718053,-0.674641,24.473231,0.02204187731895163,21.362977237419194
27,173343,LSST_r,59809.207529,1000,5.718053,-0.674641,24.476627,0.02204187731895163,21.362977237419194
28,176998,LSST_i,59813.162779,1000,5.718053,-0.674641,23.812015,0.02204187731895163,21.788095142392795
29,177040,LSST_i,59813.182313,1000,5.718053,-0.674641,23.818409,0.02204187731895163,21.788095142392795
30,178501,LSST_u,59818.043509,1000,5.718053,-0.674641,23.204968,0.02204187731895163,20.22199548943686
31,181716,LSST_r,59821.199242,1000,5.718053,-0.674641,24.430987,0.02204187731895163,21.362977237419194
32,181765,LSST_r,59821.224506,1000,5.718053,-0.674641,24.467402,0.02204187731895163,21.362977237419194
33,184579,LSST_i,59824.219938,1000,5.718053,-0.674641,23.683771,0.02204187731895163,21.788095142392795
34,184624,LSST_i,59824.242865,1000,5.718053,-0.674641,23.852036,0.02204187731895163,21.788095142392795
35,185076,LSST_z,59825.01714,1000,5.718053,-0.674641,22.943985,0.02204187731895163,22.098458212867378
36,185103,LSST_z,59825.029388,1000,5.718053,-0.674641,22.711492,0.02204187731895163,22.098458212867378
37,187047,LSST_z,59827.053598,1000,5.718053,-0.674641,22.581675,0.02204187731895163,22.098458212867378
38,187085,LSST_z,59827.071755,1000,5.718053,-0.674641,22.587745,0.02204187731895163,22.098458212867378
39,189752,LSST_r,59835.005203,1000,5.718053,-0.674641,24.473766,0.02204187731895163,21.362977237419194
40,189785,LSST_r,59835.02011,1000,5.718053,-0.674641,24.173047,0.02204187731895163,21.362977237419194
41,196039,LSST_i,59843.010977,1000,5.718053,-0.674641,23.953548,0.02204187731895163,21.788095142392795
42,196069,LSST_i,59843.024586,1000,5.718053,-0.674641,23.845983,0.02204187731895163,21.788095142392795
43,200548,LSST_u,59851.125039,1000,5.718053,-0.674641,23.337664,0.02204187731895163,20.22199548943686
44,201150,LSST_y,59852.985053,1000,5.718053,-0.674641,21.534816,0.02204187731895163,22.33345052774694
45,206661,LSST_y,59860.049891,1000,5.718053,-0.674641,21.75529,0.02204187731895163,22.33345052774694
46,206686,LSST_y,59860.061782,1000,5.718053,-0.674641,21.666861,0.02204187731895163,22.33345052774694
47,206706,LSST_y,59860.071114,1000,5.718053,-0.674641,21.798349,0.02204187731895163,22.33345052774694
48,209387,LSST_z,59863.113173,1000,5.718053,-0.674641,22.78979,0.02204187731895163,22.098458212867378
49,209419,LSST_z,59863.128519,1000,5.718053,-0.674641,22.726735,0.02204187731895163,22.098458212867378
50,210280,LSST_i,59864.143153,1000,5.718053,-0.674641,23.184935,0.02204187731895163,21.788095142392795
51,213437,LSST_r,59869.102934,1000,5.718053,-0.674641,24.477389,0.02204187731895163,21.362977237419194
52,213471,LSST_r,59869.120981,1000,5.718053,-0.674641,24.383183,0.02204187731895163,21.362977237419194
53,224540,LSST_i,59883.0581,1000,5.718053,-0.674641,23.889503,0.02204187731895163,21.788095142392795
54,224586,LSST_i,59883.080857,1000,5.718053,-0.674641,23.794943,0.02204187731895163,21.788095142392795
55,235821,LSST_u,59905.081268,1000,5.718053,-0.674641,22.86838,0.02204187731895163,20.22199548943686
56,245856,LSST_z,59919.039165,1000,5.718053,-0.674641,21.918729,0.02204187731895163,22.098458212867378
57,245904,LSST_z,59919.061256,1000,5.718053,-0.674641,22.17375,0.02204187731895163,22.098458212867378
58,333428,LSST_z,60042.408815,1000,5.718053,-0.674641,21.943087,0.02204187731895163,22.098458212867378
59,340169,LSST_i,60052.385881,1000,5.718053,-0.674641,23.62855,0.02204187731895163,21.788095142392795
