# wavelength flux
3798.84974 4.23264e-18
3800.32195 6.29302e-18
3801.78414 1.05029e-17
3803.25634 7.44914e-18
3804.72855 1.14279e-17
3806.20075 1.07968e-17
3807.67296 3.48224e-18
3809.13515 3.11981e-18
3810.60735 8.56072e-18
3812.07956 1.20092e-17
3813.55176 5.63440e-18
3815.01395 -4.06529e-18
3816.48616 1.09192e-18
3817.95836 5.95907e-18
3819.43057 6.81305e-18
3820.89276 9.76934e-18
3822.36496 1.01281e-17
3823.83717 5.44016e-18
3825.30937 9.10387e-18
3826.78158 7.15041e-18
3828.24377 3.46655e-18
3829.71597 4.78885e-18
3831.18818 6.63266e-18
3832.66038 6.85006e-18
3834.12257 6.80529e-18
3835.59478 6.35188e-18
3837.06698 1.23853e-17
3838.53919 1.31120e-17
3840.01139 1.19521e-18
3841.47358 -3.93939e-19
3842.94579 2.73049e-18
3844.41799 3.36940e-18
3845.89020 3.80063e-18
3847.35239 1.02305e-17
3848.82459 1.52298e-17
3850.29680 1.15326e-17
3851.76900 1.40530e-17
3853.24120 6.85843e-18
3854.70340 6.60327e-18
3856.17560 9.80314e-18
3857.64781 8.21528e-18
3859.12001 1.13402e-17
3860.58220 8.98622e-18
3862.05441 8.11862e-18
3863.52661 8.46943e-18
3864.99882 1.03712e-17
3866.46101 7.99443e-18
3867.93321 1.49401e-17
3869.40542 1.73842e-17
3870.87762 8.83100e-18
3872.34983 9.66698e-18
3873.81202 1.31870e-17
3875.28422 1.03051e-17
3876.75643 1.10084e-17
3878.22863 1.26643e-17
3879.69082 1.12970e-17
3881.16303 9.24628e-18
3882.63523 1.25618e-17
3884.10744 1.73476e-17
3885.57964 1.50143e-17
3887.04183 9.69108e-18
3888.51404 1.31540e-17
3889.98624 9.07632e-18
3891.45845 4.93844e-18
3892.92064 7.81340e-18
3894.39284 4.41835e-18
3895.86505 1.93381e-18
3897.33725 7.46514e-18
3898.80946 1.17214e-17
3900.27165 1.19889e-17
3901.74385 1.18804e-17
3903.21606 1.17039e-17
3904.68826 1.06864e-17
3906.15045 1.06866e-17
3907.62266 6.89813e-18
3909.09486 8.33197e-18
3910.56707 1.09929e-17
3912.02926 7.09769e-18
3913.50146 1.32903e-17
3914.97367 1.75107e-17
3916.44587 1.13316e-17
3917.91808 1.50929e-17
3919.38027 1.88616e-17
3920.85247 1.15474e-17
3922.32467 1.14792e-17
3923.79688 1.68633e-17
3925.25907 1.11995e-17
3926.73128 1.31716e-17
3928.20348 1.53028e-17
3929.67569 1.09985e-17
3931.14789 6.76469e-18
3932.61008 1.10558e-17
3934.08229 1.52581e-17
3935.55449 1.52143e-17
3937.02670 1.33099e-17
3938.48889 1.46127e-17
3939.96109 1.19699e-17
3941.43330 1.18472e-17
3942.90550 1.47507e-17
3944.37770 8.93540e-18
3945.83990 8.68543e-18
3947.31210 1.07329e-17
3948.78431 9.90569e-18
3950.25651 1.18077e-17
3951.71870 1.55395e-17
3953.19091 1.92277e-17
3954.66311 1.61393e-17
3956.13532 1.25755e-17
3957.59751 1.18845e-17
3959.06971 1.72513e-17
3960.54192 1.77131e-17
3962.01412 1.21775e-17
3963.48633 1.02796e-17
3964.94852 7.07992e-18
3966.42072 5.96570e-18
3967.89293 6.46707e-18
3969.36513 1.09639e-17
3970.82732 1.66794e-17
3972.29953 1.38187e-17
3973.77173 9.73219e-18
3975.24393 1.08779e-17
3976.71614 8.14341e-18
3978.17833 6.36417e-18
3979.65054 1.12080e-17
3981.12274 1.35212e-17
3982.59495 8.80643e-18
3984.05714 9.15445e-18
3985.52934 1.10648e-17
3987.00155 1.57193e-17
3988.47375 1.63797e-17
3989.94596 1.08964e-17
3991.40814 9.37378e-18
3992.88035 1.11063e-17
3994.35255 1.12116e-17
3995.82476 1.12504e-17
3997.28695 1.41713e-17
3998.75916 1.17402e-17
4000.23136 1.20466e-17
4001.70357 1.31543e-17
4003.16576 1.27489e-17
4004.63796 1.20042e-17
4006.11017 1.02031e-17
4007.58237 1.00287e-17
4009.05458 1.12461e-17
4010.51677 1.38444e-17
4011.98897 1.11652e-17
4013.46117 1.13807e-17
4014.93338 1.49692e-17
4016.39557 1.06587e-17
4017.86778 9.40492e-18
4019.33998 1.26954e-17
4020.81219 1.38769e-17
4022.28439 1.54192e-17
4023.74658 1.48235e-17
4025.21879 1.18267e-17
4026.69099 1.14447e-17
4028.16320 1.27044e-17
4029.62539 1.46972e-17
4031.09759 1.49698e-17
4032.56980 1.33269e-17
4034.04200 1.76626e-17
4035.50419 1.56955e-17
4036.97640 1.23082e-17
4038.44860 1.17150e-17
4039.92081 1.13676e-17
4041.39301 8.97892e-18
4042.85520 8.81106e-18
4044.32740 1.29933e-17
4045.79961 1.29675e-17
4047.27182 1.11407e-17
4048.73401 1.14567e-17
4050.20621 1.33374e-17
4051.67842 1.66692e-17
4053.15062 1.85313e-17
4054.62283 1.75164e-17
4056.08502 1.66058e-17
4057.55722 1.45424e-17
4059.02943 1.20803e-17
4060.50163 1.28708e-17
4061.96382 1.53638e-17
4063.43602 1.15603e-17
4064.90823 1.10966e-17
4066.38044 1.34350e-17
4067.85264 9.72822e-18
4069.31483 1.15117e-17
4070.78704 1.52418e-17
4072.25924 1.47848e-17
4073.73145 1.38385e-17
4075.19364 1.24346e-17
4076.66584 1.17273e-17
4078.13805 1.24686e-17
4079.61025 1.04626e-17
4081.07244 1.34006e-17
4082.54464 1.56433e-17
4084.01685 1.05408e-17
4085.48906 1.02650e-17
4086.96126 1.05665e-17
4088.42345 1.23400e-17
4089.89566 1.52852e-17
4091.36786 1.71363e-17
4092.84007 1.95417e-17
4094.30226 1.45087e-17
4095.77446 1.20941e-17
4097.24667 1.10471e-17
4098.71887 1.00050e-17
4100.19108 1.33744e-17
4101.65327 1.85079e-17
4103.12547 2.22257e-17
4104.59767 1.64699e-17
4106.06988 8.70716e-18
4107.53207 1.17439e-17
4109.00428 1.46285e-17
4110.47648 1.31784e-17
4111.94869 9.47491e-18
4113.42089 9.68012e-18
4114.88308 1.13396e-17
4116.35528 1.26073e-17
4117.82749 1.02087e-17
4119.29970 4.50902e-18
4120.76189 5.13637e-18
4122.23409 8.42365e-18
4123.70629 1.02945e-17
4125.17850 9.79832e-18
4126.64069 1.00842e-17
4128.11290 1.03701e-17
4129.58510 1.06560e-17
4131.05731 1.09419e-17
4132.52951 1.12277e-17
4133.99170 1.15135e-17
4135.46391 1.17993e-17
4136.93611 1.20851e-17
4138.40832 1.23708e-17
4139.87050 1.26566e-17
4141.34271 1.29423e-17
4142.81491 1.32280e-17
4144.28712 1.35136e-17
4145.75932 1.37993e-17
4147.22152 1.40849e-17
4148.69372 1.43705e-17
4150.16593 1.46561e-17
4151.63813 1.46555e-17
4153.10032 1.33244e-17
4154.57253 1.29762e-17
4156.04473 8.29603e-18
4157.51694 6.60389e-18
4158.97912 1.02434e-17
4160.45133 1.45533e-17
4161.92353 1.49121e-17
4163.39574 1.30576e-17
4164.86794 1.33895e-17
4166.33014 1.07174e-17
4167.80234 6.70379e-18
4169.27455 1.07092e-17
4170.74675 1.57632e-17
4172.20894 1.75841e-17
4173.68115 1.29413e-17
4175.15335 1.12608e-17
4176.62556 1.20003e-17
4178.09776 1.37160e-17
4179.55995 1.00836e-17
4181.03216 7.64541e-18
4182.50436 1.13544e-17
4183.97656 1.37238e-17
4185.43876 1.42692e-17
4186.91096 1.23010e-17
4188.38317 1.27534e-17
4189.85537 1.41261e-17
4191.32758 1.14905e-17
4192.78977 9.90163e-18
4194.26197 9.84312e-18
4195.73418 1.05612e-17
4197.20638 1.14986e-17
4198.66857 1.14717e-17
4200.14078 1.32879e-17
4201.61298 1.36948e-17
4203.08518 1.24703e-17
4204.55739 1.15307e-17
4206.01958 1.12398e-17
4207.49179 1.34365e-17
4208.96399 1.37156e-17
4210.43620 1.21939e-17
4211.89839 1.18859e-17
4213.37059 1.27187e-17
4214.84279 9.47645e-18
4216.31500 7.43327e-18
4217.77719 1.04290e-17
4219.24940 1.40624e-17
4220.72160 1.20656e-17
4222.19380 1.21526e-17
4223.66601 1.16216e-17
4225.12820 1.12416e-17
4226.60041 1.15996e-17
4228.07261 1.12312e-17
4229.54482 1.00169e-17
4231.00701 1.04694e-17
4232.47921 1.36444e-17
4233.95141 1.47455e-17
4235.42362 1.49746e-17
4236.89583 1.26835e-17
4238.35802 1.11252e-17
4239.83022 1.02509e-17
4241.30242 1.07099e-17
4242.77463 1.23683e-17
4244.23682 9.09271e-18
4245.70903 1.01876e-17
4247.18123 1.22233e-17
4248.65344 1.15796e-17
4250.11563 1.15912e-17
4251.58783 8.13417e-18
4253.06003 1.01424e-17
4254.53224 1.36337e-17
4256.00445 1.24169e-17
4257.46664 1.34421e-17
4258.93884 1.40347e-17
4260.41104 1.36269e-17
4261.88325 1.44878e-17
4263.34544 1.13015e-17
4264.81765 1.01866e-17
4266.28985 1.18664e-17
4267.76206 8.17836e-18
4269.23426 8.04034e-18
4270.69645 1.18062e-17
4272.16866 1.29923e-17
4273.64086 1.10000e-17
4275.11307 1.18524e-17
4276.57526 1.42281e-17
4278.04746 1.46165e-17
4279.51966 1.51814e-17
4280.99187 1.07764e-17
4282.45406 9.26271e-18
4283.92627 8.65855e-18
4285.39847 9.73706e-18
4286.87068 1.04439e-17
4288.34288 9.91945e-18
4289.80507 1.32065e-17
4291.27728 1.31081e-17
4292.74948 1.11583e-17
4294.22169 1.11112e-17
4295.68388 1.34159e-17
4297.15608 1.09144e-17
4298.62828 1.24262e-17
4300.10049 1.48511e-17
4301.57270 1.32194e-17
4303.03489 1.10178e-17
4304.50709 8.70909e-18
4305.97930 1.13733e-17
4307.45150 1.01005e-17
4308.91369 9.42235e-18
4310.38590 1.08954e-17
4311.85810 1.32893e-17
4313.33031 1.37529e-17
4314.80251 1.28479e-17
4316.26470 1.06081e-17
4317.73691 9.84136e-18
4319.20911 9.49557e-18
4320.68132 9.66423e-18
4322.14351 1.22233e-17
4323.61571 8.17555e-18
4325.08792 1.14702e-17
4326.56012 9.69226e-18
4328.03233 1.10960e-17
4329.49452 1.11815e-17
4330.96672 8.52991e-18
4332.43893 1.23302e-17
4333.91113 1.22357e-17
4335.37332 9.89873e-18
4336.84553 1.04334e-17
4338.31773 1.21381e-17
4339.78993 1.12511e-17
4341.25212 1.14357e-17
4342.72433 1.06130e-17
4344.19654 9.66019e-18
4345.66874 1.13580e-17
4347.14095 1.04428e-17
4348.60314 8.88829e-18
4350.07534 1.02924e-17
4351.54755 1.05610e-17
4353.01975 1.05941e-17
4354.48194 1.06272e-17
4355.95415 1.06603e-17
4357.42635 1.06934e-17
4358.89855 1.07265e-17
4360.37076 1.07596e-17
4361.83295 1.07927e-17
4363.30516 1.08258e-17
4364.77736 1.08589e-17
4366.24957 1.08920e-17
4367.71176 1.09251e-17
4369.18396 1.09581e-17
4370.65617 1.09912e-17
4372.12837 1.10243e-17
4373.59056 1.10574e-17
4375.06277 1.10904e-17
4376.53497 1.11235e-17
4378.00717 1.11565e-17
4379.47938 1.11896e-17
4380.94157 1.12227e-17
4382.41378 1.12557e-17
4383.88598 1.12888e-17
4385.35819 1.13218e-17
4386.82038 1.13548e-17
4388.29258 1.13879e-17
4389.76479 1.03159e-17
4391.23699 1.04376e-17
4392.70920 1.02090e-17
4394.17139 1.07152e-17
4395.64359 1.17211e-17
4397.11579 1.13792e-17
4398.58800 1.24201e-17
4400.05019 9.86506e-18
4401.52240 1.07561e-17
4402.99460 1.25050e-17
4404.46681 1.13434e-17
4405.92900 1.22321e-17
4407.40120 1.24159e-17
4408.87341 1.36029e-17
4410.34561 1.26992e-17
4411.81782 1.06565e-17
4413.28001 1.12322e-17
4414.75221 1.07976e-17
4416.22441 1.02879e-17
4417.69662 9.94995e-18
4419.15881 9.71610e-18
4420.63102 1.10357e-17
4422.10322 1.23269e-17
4423.57542 1.14816e-17
4425.04763 1.28986e-17
4426.50982 1.11073e-17
4427.98203 9.67908e-18
4429.45423 1.04651e-17
4430.92644 1.17604e-17
4432.38863 8.44273e-18
4433.86083 8.95393e-18
4435.33303 1.33228e-17
4436.80524 1.41660e-17
4438.27745 1.25635e-17
4439.73964 1.10419e-17
4441.21184 1.12381e-17
4442.68404 1.04781e-17
4444.15625 1.36213e-17
