# wavelength flux
3600.00419 5.29477e-18
3604.67733 1.82588e-18
3609.36063 2.17198e-18
3614.03377 5.70939e-18
3618.71707 5.15886e-18
3623.40037 3.00405e-19
3628.07351 1.06017e-18
3632.75681 -7.61300e-19
3637.44011 3.26889e-19
3642.11325 1.38941e-18
3646.79655 7.71190e-19
3651.46969 1.67402e-18
3656.15299 5.00826e-18
3660.83629 3.82027e-18
3665.50943 1.43328e-18
3670.19272 2.56156e-18
3674.87602 2.37916e-18
3679.54916 4.08746e-18
3684.23246 3.37612e-18
3688.91576 3.98579e-18
3693.58890 2.25050e-18
3698.27220 2.25143e-18
3702.94534 8.36983e-19
3707.62864 3.95660e-18
3712.31194 3.47250e-18
3716.98508 2.44674e-18
3721.66838 2.93570e-18
3726.35168 2.42313e-18
3731.02482 2.41350e-18
3735.70812 2.49253e-18
3740.38126 -4.06895e-19
3745.06455 6.18967e-19
3749.74785 1.99224e-18
3754.42099 2.47912e-18
3759.10429 1.11679e-18
3763.78759 2.42774e-19
3768.46073 2.04169e-19
3773.14403 2.28653e-19
3777.82733 2.53134e-19
3782.50047 2.77609e-19
3787.18377 3.02080e-19
3791.85691 3.26548e-19
3796.54021 3.51011e-19
3801.22351 3.75469e-19
3805.89665 3.99924e-19
3810.57995 4.24375e-19
3815.26325 2.73847e-18
3819.93638 3.38067e-18
3824.61968 1.61114e-18
3829.29282 1.77574e-18
3833.97612 1.89639e-18
3838.65942 3.12474e-18
3843.33256 1.97471e-18
3848.01586 1.74548e-18
3852.69916 3.91078e-18
3857.37230 3.01733e-18
3862.05560 1.14264e-19
3866.72874 -6.19417e-20
3871.41204 8.35722e-19
3876.09534 1.27822e-18
3880.76848 2.80886e-18
3885.45178 2.52345e-18
3890.13508 3.66046e-18
3894.80822 3.57941e-18
3899.49151 3.28492e-18
3904.16465 3.65784e-18
3908.84795 2.84233e-18
3913.53125 1.70630e-18
3918.20439 2.92044e-18
3922.88769 5.57776e-18
3927.57099 3.50446e-18
3932.24413 4.14482e-18
3936.92743 4.36917e-18
3941.61073 4.97518e-18
3946.28387 3.43517e-18
3950.96717 3.42547e-18
3955.64031 5.33216e-18
3960.32361 4.53085e-18
3965.00690 3.81469e-18
3969.68005 3.61510e-18
3974.36334 3.25413e-18
3979.04664 2.98276e-18
3983.71978 5.82515e-18
3988.40308 4.01479e-18
3993.07622 1.52817e-18
3997.75952 1.79190e-18
4002.44282 3.74742e-18
4007.11596 5.58899e-18
4011.79926 3.95717e-18
4016.48256 2.39892e-18
4021.15570 2.51597e-18
4025.83900 4.18895e-18
4030.51214 3.03284e-18
4035.19544 3.59133e-18
4039.87874 4.28141e-18
4044.55188 4.98404e-18
4049.23517 2.80794e-18
4053.91847 2.00218e-18
4058.59161 2.63465e-18
4063.27491 3.71035e-18
4067.94805 4.32908e-18
4072.63135 3.83499e-18
4077.31465 4.05833e-18
4081.98779 4.07200e-18
4086.67109 3.60687e-18
4091.35439 4.35884e-18
4096.02753 3.94499e-18
4100.71083 3.46928e-18
4105.39413 2.81997e-18
4110.06727 3.56819e-18
4114.75057 4.60015e-18
4119.42371 3.26835e-18
4124.10700 3.75844e-18
4128.79030 4.44514e-18
4133.46344 2.93567e-18
4138.14674 3.02904e-18
4142.83004 3.43505e-18
4147.50318 2.12196e-18
4152.18648 3.20732e-18
4156.85962 3.08583e-18
4161.54292 2.82528e-18
4166.22622 3.99468e-18
4170.89936 4.17263e-18
4175.58266 3.67030e-18
4180.26596 4.20188e-18
4184.93910 4.46603e-18
4189.62240 2.78007e-18
4194.29553 2.22833e-18
4198.97883 4.10534e-18
4203.66213 4.68965e-18
4208.33527 4.53594e-18
4213.01857 4.81225e-18
4217.70187 3.24818e-18
4222.37501 2.87840e-18
4227.05831 2.95774e-18
4231.74161 3.55109e-18
4236.41475 3.36853e-18
4241.09805 3.22884e-18
4245.77119 4.15001e-18
4250.45449 4.24591e-18
4255.13779 5.47878e-18
4259.81093 4.76036e-18
4264.49423 3.49016e-18
4269.17752 3.42013e-18
4273.85066 3.31879e-18
4278.53396 4.92379e-18
4283.20710 4.13541e-18
4287.89040 3.30977e-18
4292.57370 4.25908e-18
4297.24684 4.40639e-18
4301.93014 4.89043e-18
4306.61344 4.36745e-18
4311.28658 4.32347e-18
4315.96988 4.16398e-18
4320.64302 3.75454e-18
4325.32632 2.83777e-18
4330.00962 3.37073e-18
4334.68276 4.13331e-18
4339.36605 4.64868e-18
4344.04935 3.39937e-18
4348.72249 2.62651e-18
4353.40579 2.96013e-18
4358.08909 3.75308e-18
4362.76223 3.26880e-18
4367.44553 3.85780e-18
4372.11867 4.65987e-18
4376.80197 3.08665e-18
4381.48527 3.56929e-18
4386.15841 3.40675e-18
4390.84171 2.90168e-18
4395.52501 4.19953e-18
4400.19815 3.75218e-18
4404.88145 2.05978e-18
4409.55459 2.73487e-18
4414.23788 2.15776e-18
4418.92118 2.38556e-18
4423.59432 2.61333e-18
4428.27762 2.84103e-18
4432.96092 3.06873e-18
4437.63406 3.29638e-18
4442.31736 3.52398e-18
4446.99050 3.75156e-18
4451.67380 3.97910e-18
4456.35710 2.76643e-18
4461.03024 3.27367e-18
4465.71354 4.92109e-18
4470.39684 3.87904e-18
4475.06998 4.52760e-18
4479.75328 4.90274e-18
4484.42642 3.99107e-18
4489.10972 4.78676e-18
4493.79301 4.46920e-18
4498.46615 3.25222e-18
4503.14945 3.46360e-18
4507.83275 4.05433e-18
4512.50589 3.06107e-18
4517.18919 3.39994e-18
4521.87249 2.65237e-18
4526.54563 3.57467e-18
4531.22893 4.81189e-18
4535.90207 3.28186e-18
4540.58537 2.80335e-18
4545.26867 3.30355e-18
4549.94181 3.81840e-18
4554.62511 5.31349e-18
4559.30840 4.88463e-18
4563.98155 4.56395e-18
4568.66484 5.28159e-18
4573.33798 5.38478e-18
4578.02128 5.77893e-18
4582.70458 5.81378e-18
4587.37772 6.45171e-18
4592.06102 5.78960e-18
4596.74432 6.66211e-18
4601.41746 7.35096e-18
4606.10076 6.17665e-18
4610.77390 6.34518e-18
4615.45720 6.19840e-18
4620.14050 5.87270e-18
4624.81364 6.51690e-18
4629.49694 6.91247e-18
4634.18023 6.18347e-18
4638.85337 6.39517e-18
4643.53667 7.10343e-18
4648.20981 7.13904e-18
4652.89311 7.00678e-18
4657.57641 6.73771e-18
4662.24955 8.47768e-18
4666.93285 7.19321e-18
4671.61615 6.50182e-18
4676.28929 7.44659e-18
4680.97259 7.29950e-18
4685.65589 7.26422e-18
4690.32903 7.41484e-18
4695.01233 6.80544e-18
4699.68547 6.51616e-18
4704.36877 6.30141e-18
4709.05207 6.46504e-18
4713.72520 6.69265e-18
4718.40850 6.24063e-18
4723.09180 6.03854e-18
4727.76494 5.10147e-18
4732.44824 5.51200e-18
4737.12138 5.97540e-18
4741.80468 6.40999e-18
4746.48798 5.02128e-18
4751.16112 5.31588e-18
4755.84442 5.29588e-18
4760.52772 4.60342e-18
