# wavelength flux
3477.00378 2.70606e-18
3478.46655 2.30275e-18
3479.93935 2.07092e-18
3481.41214 2.12733e-18
3482.88493 1.46402e-18
3484.34771 1.35602e-18
3485.82050 1.64266e-18
3487.29329 2.16191e-18
3488.75607 3.20193e-18
3490.22886 3.71400e-18
3491.70165 3.08081e-18
3493.17445 2.09361e-18
3494.63722 2.19369e-18
3496.11001 3.27300e-18
3497.58281 3.22816e-18
3499.04558 2.81264e-18
3500.51837 3.00295e-18
3501.99116 2.52775e-18
3503.46396 2.50963e-18
3504.92673 3.09395e-18
3506.39953 2.42677e-18
3507.87232 1.76048e-18
3509.34511 1.74986e-18
3510.80789 1.44822e-18
3512.28068 1.81836e-18
3513.75347 2.08808e-18
3515.21625 1.23453e-18
3516.68904 1.92956e-18
3518.16183 3.07218e-18
3519.63462 2.28119e-18
3521.09740 1.44578e-18
3522.57019 1.67743e-18
3524.04298 1.82465e-18
3525.50576 1.51148e-18
3526.97855 1.53534e-18
3528.45134 1.45965e-18
3529.92414 1.40740e-18
3531.38691 1.16619e-18
3532.85970 1.38561e-18
3534.33250 1.29321e-18
3535.79527 1.47408e-18
3537.26806 1.78699e-18
3538.74086 1.76998e-18
3540.21365 2.48246e-18
3541.67642 2.27630e-18
3543.14922 1.67271e-18
3544.62201 9.85113e-19
3546.09480 5.75542e-19
3547.55758 1.15142e-18
3549.03037 1.60545e-18
3550.50316 1.18265e-18
3551.96594 1.39718e-18
3553.43873 1.27799e-18
3554.91152 6.84021e-19
3556.38432 1.21744e-18
3557.84709 1.80020e-18
3559.31988 1.94168e-18
3560.79268 1.38509e-18
3562.25545 1.04120e-18
3563.72824 1.80802e-18
3565.20104 2.40649e-18
3566.67383 1.66259e-18
3568.13660 1.25958e-18
3569.60940 2.06709e-18
3571.08219 2.30186e-18
3572.55498 2.06190e-18
3574.01776 1.82396e-18
3575.49055 1.97525e-18
3576.96334 2.62833e-18
3578.42612 2.83609e-18
3579.89891 2.37081e-18
3581.37170 2.03841e-18
3582.84450 2.10880e-18
3584.30727 2.03107e-18
3585.78006 2.26910e-18
3587.25285 2.70356e-18
3588.71563 2.75170e-18
3590.18842 2.92595e-18
3591.66122 2.94463e-18
3593.13401 2.95343e-18
3594.59678 2.63662e-18
3596.06957 2.58241e-18
3597.54237 2.78352e-18
3599.01516 2.70546e-18
3600.47794 3.40184e-18
3601.95073 3.49136e-18
3603.42352 2.52253e-18
3604.88630 2.57809e-18
3606.35909 2.64862e-18
3607.83188 2.39787e-18
