# wavelength flux
4000.00068 9.76048e-18
4003.60860 1.01066e-17
4007.21652 1.04389e-17
4010.82444 1.05834e-17
4014.42234 1.01795e-17
4018.03026 9.86686e-18
4021.63818 1.07331e-17
4025.24610 1.04933e-17
4028.85402 9.91443e-18
4032.46194 1.03677e-17
4036.06986 1.04996e-17
4039.67778 1.11130e-17
4043.28570 1.22901e-17
4046.89362 1.21420e-17
4050.49152 1.15143e-17
4054.09944 1.14052e-17
4057.70736 1.18370e-17
4061.31528 1.15833e-17
4064.92320 1.13627e-17
4068.53112 1.13364e-17
4072.13904 1.16735e-17
4075.74696 1.18669e-17
4079.35488 1.16359e-17
4082.96280 1.13407e-17
4086.56070 1.20306e-17
4090.16862 1.21259e-17
4093.77654 1.17196e-17
4097.38446 1.21482e-17
4100.99238 1.21024e-17
4104.60030 1.19156e-17
4108.20822 1.23014e-17
4111.81614 1.25150e-17
4115.42406 1.28464e-17
4119.02196 1.27287e-17
4122.62988 1.24092e-17
4126.23780 1.29801e-17
4129.84572 1.29135e-17
4133.45364 1.23682e-17
4137.06156 1.26762e-17
4140.66948 1.29916e-17
4144.27740 1.29658e-17
4147.88532 1.32495e-17
4151.49324 1.34505e-17
4155.09113 1.27486e-17
4158.69905 1.26901e-17
4162.30697 1.33833e-17
4165.91489 1.36181e-17
4169.52281 1.38780e-17
4173.13073 1.37504e-17
4176.73865 1.38343e-17
4180.34657 1.40450e-17
4183.95449 1.38493e-17
4187.55239 1.39095e-17
4191.16031 1.44053e-17
4194.76823 1.43303e-17
4198.37615 1.39432e-17
4201.98407 1.44858e-17
4205.59199 1.48313e-17
4209.19991 1.48290e-17
4212.80783 1.43737e-17
4216.41575 1.38040e-17
4220.02367 1.37999e-17
4223.62157 1.37879e-17
4227.22949 1.38657e-17
4230.83741 1.36380e-17
4234.44533 1.38998e-17
4238.05325 1.42012e-17
4241.66117 1.38481e-17
4245.26909 1.39062e-17
4248.87701 1.44923e-17
4252.48493 1.47446e-17
4256.09285 1.44222e-17
4259.69075 1.40769e-17
4263.29867 1.40009e-17
4266.90659 1.40118e-17
4270.51451 1.41665e-17
4274.12243 1.42468e-17
4277.73035 1.39023e-17
4281.33827 1.36357e-17
4284.94619 1.34929e-17
4288.55411 1.42629e-17
4292.15201 1.50112e-17
4295.75993 1.45887e-17
4299.36785 1.44227e-17
4302.97577 1.49281e-17
4306.58369 1.47987e-17
4310.19161 1.43955e-17
4313.79953 1.41542e-17
4317.40745 1.38591e-17
4321.01537 1.37023e-17
4324.62329 1.40911e-17
4328.22118 1.46171e-17
4331.82910 1.49529e-17
4335.43702 1.48592e-17
4339.04494 1.46651e-17
4342.65286 1.44783e-17
4346.26078 1.45149e-17
4349.86870 1.47813e-17
4353.47662 1.40354e-17
4357.08454 1.33379e-17
4360.68244 1.35192e-17
4364.29036 1.42524e-17
4367.89828 1.49353e-17
4371.50620 1.45415e-17
4375.11412 1.44352e-17
4378.72204 1.49594e-17
4382.32996 1.49227e-17
4385.93788 1.48582e-17
4389.54580 1.43025e-17
4393.15372 1.40698e-17
4396.75162 1.48261e-17
4400.35954 1.55146e-17
4403.96746 1.54524e-17
4407.57538 1.47753e-17
4411.18330 1.42376e-17
4414.79122 1.44719e-17
4418.39914 1.45737e-17
4422.00706 1.43209e-17
4425.61498 1.40637e-17
4429.21288 1.43496e-17
4432.82080 1.45511e-17
4436.42872 1.47822e-17
4440.03664 1.48742e-17
4443.64456 1.51008e-17
4447.25248 1.53847e-17
4450.86040 1.52458e-17
4454.46832 1.51783e-17
4458.07624 1.48099e-17
4461.68416 1.50461e-17
4465.28206 1.52039e-17
4468.88998 1.48790e-17
4472.49790 1.46439e-17
4476.10582 1.45995e-17
4479.71374 1.52352e-17
4483.32166 1.53326e-17
4486.92958 1.50231e-17
4490.53750 1.51048e-17
4494.14542 1.51286e-17
4497.75334 1.48510e-17
4501.35123 1.43299e-17
4504.95915 1.42094e-17
4508.56707 1.45529e-17
4512.17499 1.50284e-17
4515.78291 1.52650e-17
4519.39083 1.50060e-17
4522.99875 1.44912e-17
4526.60667 1.44972e-17
4530.21459 1.51175e-17
4533.81249 1.51777e-17
4537.42041 1.49816e-17
4541.02833 1.45649e-17
4544.63625 1.45921e-17
4548.24417 1.52464e-17
4551.85209 1.48081e-17
4555.46001 1.48758e-17
4559.06793 1.46694e-17
4562.67585 1.44905e-17
4566.27375 1.47356e-17
4569.88167 1.50320e-17
4573.48959 1.47233e-17
4577.09751 1.45782e-17
4580.70543 1.43830e-17
4584.31335 1.41262e-17
4587.92127 1.46878e-17
4591.52919 1.48303e-17
4595.13711 1.47368e-17
4598.74503 1.44444e-17
4602.34293 1.45942e-17
4605.95085 1.46576e-17
4609.55877 1.48973e-17
4613.16669 1.50663e-17
4616.77461 1.44450e-17
4620.38253 1.42409e-17
4623.99045 1.44957e-17
4627.59837 1.44812e-17
4631.20629 1.46518e-17
4634.81421 1.43761e-17
4638.41211 1.44398e-17
4642.02003 1.44100e-17
4645.62795 1.44318e-17
4649.23587 1.46456e-17
4652.84379 1.45792e-17
4656.45171 1.43112e-17
4660.05963 1.40328e-17
4663.66755 1.41020e-17
4667.27547 1.43013e-17
4670.87336 1.37589e-17
4674.48128 1.36897e-17
4678.08920 1.44631e-17
4681.69712 1.44417e-17
4685.30504 1.41806e-17
4688.91296 1.45882e-17
4692.52088 1.43619e-17
4696.12880 1.40473e-17
4699.73672 1.39881e-17
4703.34464 1.40090e-17
4706.94254 1.41029e-17
4710.55046 1.40418e-17
4714.15838 1.37961e-17
4717.76630 1.35848e-17
