# wavelength flux
3466.99584 1.68685e-17
3468.46752 1.50202e-17
3469.93920 1.32408e-17
3471.41088 1.34168e-17
3472.88256 1.29638e-17
3474.35424 1.45315e-17
3475.81584 1.49175e-17
3477.28752 1.42601e-17
3478.75920 1.48356e-17
3480.23088 1.47283e-17
3481.70256 1.44925e-17
3483.17424 1.46309e-17
3484.63584 1.38353e-17
3486.10752 1.25392e-17
3487.57920 1.39885e-17
3489.05088 1.52084e-17
3490.52256 1.44584e-17
3491.99424 1.37431e-17
3493.45584 1.44701e-17
3494.92752 1.51638e-17
3496.39920 1.33575e-17
3497.87088 1.25497e-17
3499.34256 1.43928e-17
3500.81424 1.61202e-17
3502.27584 1.51284e-17
3503.74752 1.20304e-17
3505.21920 1.18415e-17
3506.69088 1.43486e-17
3508.16256 1.42490e-17
3509.63424 1.27743e-17
3511.09584 1.29100e-17
3512.56752 1.44910e-17
3514.03920 1.38838e-17
3515.51088 1.27553e-17
3516.98256 1.40631e-17
3518.45424 1.33702e-17
3519.91584 1.23560e-17
3521.38752 1.34668e-17
3522.85920 1.36187e-17
3524.33088 1.33813e-17
3525.80256 1.40141e-17
3527.27424 1.33853e-17
3528.73584 1.28388e-17
3530.20752 1.26459e-17
3531.67920 1.31683e-17
3533.15088 1.41706e-17
3534.62256 1.36698e-17
3536.09424 1.37986e-17
3537.55584 1.40067e-17
3539.02752 1.34423e-17
3540.49920 1.27705e-17
3541.97088 1.34815e-17
3543.44256 1.50595e-17
3544.91424 1.36018e-17
3546.37584 1.27419e-17
3547.84752 1.49322e-17
3549.31920 1.38259e-17
3550.79088 1.34122e-17
3552.26256 1.49639e-17
3553.73424 1.47638e-17
3555.19584 1.38361e-17
3556.66752 1.33120e-17
3558.13920 1.46611e-17
3559.61088 1.47752e-17
3561.08256 1.33300e-17
3562.55424 1.32598e-17
3564.01584 1.42164e-17
3565.48752 1.42105e-17
3566.95920 1.40428e-17
3568.43088 1.33310e-17
3569.90256 1.36621e-17
3571.37424 1.48011e-17
3572.83584 1.36104e-17
3574.30752 1.31653e-17
3575.77920 1.51041e-17
3577.25088 1.59707e-17
3578.72256 1.36952e-17
3580.19424 1.27644e-17
3581.65584 1.32483e-17
3583.12752 1.35946e-17
3584.59920 1.52978e-17
3586.07088 1.57054e-17
3587.54256 1.50152e-17
3589.01424 1.49200e-17
3590.47584 1.43658e-17
3591.94752 1.35929e-17
3593.41920 1.43619e-17
3594.89088 1.57003e-17
3596.36256 1.59829e-17
3597.83424 1.52004e-17
3599.29584 1.49744e-17
3600.76752 1.62049e-17
3602.23920 1.71070e-17
3603.71088 1.72969e-17
3605.18256 1.69295e-17
3606.65424 1.64109e-17
3608.11584 1.61928e-17
3609.58752 1.64646e-17
3611.05920 1.61824e-17
3612.53088 1.75511e-17
3614.00256 1.75548e-17
3615.47424 1.79004e-17
3616.93584 1.72189e-17
3618.40752 1.54283e-17
3619.87920 1.52178e-17
3621.35088 1.61617e-17
3622.82256 1.76306e-17
3624.29424 1.70869e-17
3625.75584 1.66512e-17
3627.22752 1.59950e-17
3628.69920 1.60348e-17
3630.17088 1.55827e-17
3631.64256 1.51747e-17
3633.11424 1.41078e-17
3634.57584 1.41526e-17
3636.04752 1.60004e-17
3637.51920 1.34592e-17
3638.99088 1.15935e-17
3640.46256 1.24039e-17
3641.93424 1.25892e-17
3643.39584 1.20160e-17
3644.86752 1.16052e-17
3646.33920 1.36143e-17
3647.81088 1.54862e-17
3649.28256 1.46684e-17
3650.75424 1.26152e-17
3652.21584 1.13895e-17
3653.68752 1.17543e-17
3655.15920 1.20254e-17
3656.63088 1.23091e-17
3658.10256 1.28495e-17
3659.57424 1.32330e-17
3661.03584 1.32726e-17
3662.50752 1.39114e-17
3663.97920 1.40504e-17
3665.45088 1.29425e-17
3666.92256 1.33717e-17
3668.39424 1.53247e-17
3669.85584 1.50865e-17
3671.32752 1.46435e-17
3672.79920 1.49519e-17
3674.27088 1.45468e-17
3675.74256 1.50774e-17
3677.21424 1.71153e-17
3678.67584 1.63071e-17
3680.14752 1.58960e-17
3681.61920 1.55753e-17
3683.09088 1.34686e-17
3684.56256 1.45634e-17
3686.03424 1.52705e-17
3687.49584 1.57111e-17
3688.96752 1.72920e-17
3690.43920 1.58818e-17
3691.91088 1.64973e-17
3693.38256 1.63318e-17
3694.85424 1.53944e-17
3696.31584 1.65058e-17
3697.78752 1.68120e-17
3699.25920 1.76538e-17
3700.73088 1.80678e-17
3702.20256 1.76901e-17
3703.67424 1.72942e-17
3705.13584 1.90138e-17
3706.60752 1.82438e-17
3708.07920 1.71804e-17
3709.55088 1.76454e-17
3711.02256 1.72752e-17
3712.49424 1.73958e-17
3713.95584 1.59864e-17
3715.42752 1.70630e-17
3716.89920 1.78522e-17
3718.37088 1.62285e-17
3719.84256 1.60887e-17
3721.31424 1.59205e-17
3722.77584 1.55941e-17
3724.24752 1.65248e-17
3725.71920 1.52718e-17
3727.19088 1.49185e-17
3728.66256 1.51624e-17
3730.13424 1.42287e-17
3731.59584 1.29482e-17
3733.06752 1.36002e-17
3734.53920 1.33934e-17
3736.01088 1.19491e-17
