# wavelength flux
3500.28081 1.03344e-17
3502.86431 1.80077e-18
3505.45814 2.90569e-19
3508.05198 5.10973e-18
3510.63548 -3.06363e-19
3513.22931 -4.33108e-19
3515.82315 -3.03430e-18
3518.40665 -2.80670e-18
3521.00048 8.73500e-18
3523.59431 2.40941e-18
3526.17781 1.81541e-18
3528.77165 -3.11668e-18
3531.36548 6.71811e-18
3533.95932 3.42593e-18
3536.54282 8.41683e-19
3539.13665 -2.84420e-18
3541.73048 -5.68451e-18
3544.31398 -4.74419e-18
3546.90782 -7.14016e-19
3549.50165 6.61640e-18
3552.09549 -8.43126e-19
3554.67899 -4.52521e-18
3557.27282 -5.76410e-19
3559.86665 6.60320e-18
3562.45015 1.94801e-18
3565.04399 7.74738e-19
3567.63782 -5.00153e-18
3570.22132 -1.95011e-18
3572.81516 -4.88233e-18
3575.40899 -6.24797e-18
3578.00282 -3.33546e-18
3580.58632 -1.94334e-18
3583.18016 3.43938e-18
3585.77399 1.94246e-18
3588.35749 -2.67592e-18
3590.95133 2.35270e-18
3593.54516 -3.93382e-18
3596.12866 -2.41479e-18
3598.72249 -3.03883e-18
3601.31633 -6.25673e-19
3603.89983 5.58177e-19
3606.49366 8.28874e-19
3609.08750 -4.47469e-18
3611.68133 7.70767e-19
3614.26483 -2.50655e-18
3616.85866 -4.13031e-18
3619.45250 -1.07029e-18
3622.03600 -4.49988e-19
3624.62983 -5.08271e-18
3627.22367 -5.27725e-18
3629.80717 -6.09237e-18
3632.40100 -4.63335e-18
3634.99483 -2.65866e-18
3637.58867 -1.31941e-18
3640.17217 8.05531e-19
3642.76600 -6.28200e-19
3645.35984 1.09004e-18
3647.94334 -1.84960e-19
3650.53717 2.79966e-18
3653.13100 -1.28654e-18
3655.71450 -3.53278e-18
3658.30834 -4.63850e-19
3660.90217 -1.43460e-18
3663.48567 5.15394e-19
3666.07951 3.94227e-20
3668.67334 2.44528e-18
3671.26717 1.58847e-18
3673.85067 -1.78506e-18
3676.44451 5.36952e-19
3679.03834 1.46061e-18
3681.62184 2.49479e-18
3684.21568 2.94025e-18
3686.80951 -2.17894e-18
3689.40334 2.95440e-18
3691.98684 5.83141e-18
3694.58068 2.60550e-18
3697.17451 3.13857e-19
3699.75801 -1.40527e-18
3702.35185 -8.00634e-20
3704.94568 -2.70237e-18
3707.52918 -2.01262e-18
3710.12301 3.38572e-18
3712.71685 1.40539e-19
3715.31068 -4.24750e-19
3717.89418 -3.33906e-19
3720.48802 1.99025e-18
3723.08185 9.06748e-19
3725.66535 2.64451e-18
3728.25918 1.17940e-18
3730.85302 -1.28543e-20
3733.43652 -6.73624e-19
3736.03035 3.59220e-19
3738.62419 -1.64653e-19
3741.20769 -1.35887e-18
3743.80152 4.26346e-19
3746.39535 8.20794e-19
3748.98919 3.18194e-18
3751.57269 2.96653e-18
