# wavelength flux
3475.89900 2.60737e-18
3477.36148 2.61769e-18
3478.83398 2.71434e-18
3480.30648 2.48202e-18
3481.77898 2.06647e-18
3483.24146 2.33111e-18
3484.71396 2.59637e-18
3486.18646 2.69721e-18
3487.65896 2.57929e-18
3489.12144 2.71479e-18
3490.59394 2.87974e-18
3492.06644 2.62061e-18
3493.53894 2.41306e-18
3495.00142 2.47913e-18
3496.47392 2.27708e-18
3497.94642 2.33977e-18
3499.41892 2.26729e-18
3500.88140 2.40428e-18
3502.35390 2.74490e-18
3503.82640 2.54271e-18
3505.29889 2.36683e-18
3506.76138 2.68903e-18
3508.23388 2.55550e-18
3509.70638 2.73009e-18
3511.17887 2.75992e-18
3512.64136 2.33360e-18
3514.11386 2.71637e-18
3515.58635 3.04595e-18
3517.05885 2.98180e-18
3518.52134 2.74130e-18
3519.99383 2.57733e-18
3521.46633 2.54120e-18
3522.93883 2.31003e-18
3524.40131 2.57156e-18
3525.87381 2.86479e-18
3527.34631 3.05290e-18
3528.81881 3.05714e-18
3530.28129 2.59957e-18
3531.75379 2.61299e-18
3533.22629 2.59780e-18
3534.69879 2.77141e-18
3536.16127 2.87152e-18
3537.63377 2.38800e-18
3539.10627 2.53343e-18
3540.57877 2.79448e-18
3542.04125 2.70169e-18
3543.51375 2.68856e-18
3544.98625 2.54181e-18
3546.45875 2.76868e-18
3547.92123 2.65441e-18
3549.39373 2.43902e-18
3550.86623 2.55207e-18
3552.32871 2.76751e-18
3553.80121 2.47503e-18
3555.27371 2.32889e-18
3556.74621 2.45763e-18
3558.21871 2.56358e-18
3559.68119 2.59693e-18
3561.15369 2.76085e-18
3562.62619 2.66377e-18
3564.08867 2.70889e-18
3565.56117 3.04298e-18
3567.03367 2.69004e-18
3568.50616 2.22033e-18
3569.96865 2.50116e-18
3571.44115 2.81991e-18
3572.91365 2.68393e-18
3574.38614 2.91306e-18
3575.84863 2.69934e-18
3577.32112 2.27287e-18
3578.79362 2.70128e-18
3580.26612 2.92129e-18
3581.72861 2.59118e-18
3583.20110 2.60172e-18
3584.67360 2.93078e-18
3586.14610 2.52194e-18
3587.60858 2.39239e-18
3589.08108 2.59483e-18
3590.55358 2.54176e-18
3592.02608 2.52771e-18
3593.48856 2.62637e-18
3594.96106 2.91307e-18
3596.43356 3.10941e-18
3597.90606 3.29153e-18
3599.36854 3.45091e-18
3600.84104 3.29407e-18
3602.31354 3.16033e-18
3603.78604 2.99768e-18
3605.24852 3.04353e-18
3606.72102 3.18713e-18
3608.19352 3.19614e-18
3609.66602 3.02375e-18
3611.12850 2.61056e-18
3612.60100 2.75861e-18
3614.07350 2.96579e-18
3615.54600 3.10899e-18
3617.00848 2.77711e-18
3618.48098 2.40859e-18
3619.95348 2.79028e-18
3621.42598 2.72744e-18
3622.88846 2.37369e-18
3624.36096 2.40782e-18
3625.83346 2.41542e-18
3627.30596 2.43969e-18
3628.76844 2.61795e-18
3630.24094 3.00742e-18
3631.71344 2.65838e-18
3633.18593 2.44917e-18
3634.64842 2.44416e-18
3636.12091 2.36393e-18
3637.59341 2.51906e-18
3639.06591 2.44406e-18
3640.52839 2.46300e-18
3642.00089 2.49987e-18
3643.47339 2.67302e-18
3644.94589 2.80142e-18
3646.40837 2.36210e-18
3647.88087 2.27749e-18
3649.35337 2.55540e-18
3650.81585 2.65718e-18
3652.28835 2.67848e-18
3653.76085 2.93392e-18
3655.23335 3.10701e-18
3656.69583 2.88962e-18
3658.16833 2.87470e-18
3659.64083 3.10996e-18
3661.11333 3.23043e-18
3662.57581 3.20212e-18
3664.04831 3.17700e-18
3665.52081 3.04923e-18
3666.99331 3.05835e-18
3668.45579 3.26022e-18
3669.92829 3.31138e-18
3671.40079 3.37209e-18
3672.87329 3.45179e-18
3674.33577 3.46304e-18
3675.80827 3.59639e-18
3677.28077 3.57616e-18
3678.75327 3.68041e-18
3680.21575 3.94420e-18
3681.68825 4.19087e-18
3683.16075 4.00964e-18
3684.63325 3.96631e-18
3686.09573 4.11227e-18
3687.56823 3.98179e-18
3689.04073 4.15074e-18
3690.51323 4.07489e-18
3691.97571 4.14806e-18
3693.44821 4.30252e-18
3694.92070 4.42986e-18
3696.39320 4.78727e-18
3697.85569 4.65824e-18
3699.32819 4.56893e-18
3700.80068 4.67362e-18
3702.27318 4.81742e-18
3703.73567 4.40399e-18
3705.20816 4.41954e-18
3706.68066 4.43450e-18
3708.15316 4.38968e-18
3709.61564 4.58654e-18
3711.08814 4.66279e-18
3712.56064 4.59671e-18
3714.03314 4.43434e-18
3715.49562 4.35069e-18
3716.96812 4.26708e-18
3718.44062 4.19289e-18
3719.91312 4.11872e-18
3721.37560 4.04457e-18
3722.84810 3.97043e-18
3724.32060 3.89631e-18
3725.79310 3.82220e-18
3727.25558 3.74809e-18
3728.72808 3.67402e-18
3730.20058 3.59995e-18
3731.67308 3.52589e-18
3733.13556 3.45186e-18
3734.60806 3.37784e-18
3736.08056 3.30384e-18
3737.55306 3.22984e-18
3739.01554 3.15586e-18
3740.48804 3.08189e-18
3741.96054 3.00793e-18
3743.42302 2.93400e-18
3744.89552 2.86008e-18
3746.36802 2.78616e-18
3747.84052 2.71228e-18
3749.30300 2.63839e-18
3750.77550 2.56453e-18
3752.24800 2.49066e-18
3753.72050 2.41682e-18
3755.18298 2.26879e-18
3756.65548 2.24863e-18
3758.12798 2.29782e-18
3759.60047 2.32865e-18
3761.06296 2.35089e-18
3762.53546 2.32767e-18
3764.00795 2.42263e-18
3765.48045 2.36931e-18
3766.94294 2.12743e-18
3768.41543 2.03190e-18
3769.88793 2.08477e-18
3771.36043 1.98613e-18
3772.82291 1.94410e-18
3774.29541 1.98858e-18
3775.76791 1.83425e-18
3777.24041 1.89602e-18
3778.70289 1.73368e-18
3780.17539 1.83678e-18
3781.64789 1.77235e-18
3783.12039 1.77051e-18
3784.58287 1.79211e-18
3786.05537 1.68810e-18
3787.52787 1.76811e-18
3789.00037 1.93042e-18
3790.46285 2.10653e-18
3791.93535 2.08520e-18
3793.40785 2.09689e-18
3794.88035 2.13055e-18
3796.34283 1.98014e-18
3797.81533 1.78082e-18
3799.28783 1.85526e-18
3800.76033 1.92324e-18
3802.22281 1.95245e-18
3803.69531 1.86197e-18
3805.16781 1.71027e-18
3806.64031 1.77355e-18
3808.10279 1.93758e-18
3809.57529 1.91366e-18
3811.04779 1.97833e-18
3812.52029 2.13473e-18
3813.98277 2.11905e-18
3815.45527 2.00082e-18
3816.92776 2.01810e-18
3818.40026 2.19465e-18
3819.86275 2.20547e-18
3821.33525 2.15850e-18
3822.80774 2.38824e-18
3824.28024 2.39045e-18
3825.74273 2.22202e-18
3827.21522 2.27980e-18
3828.68772 2.33584e-18
3830.16022 2.30453e-18
3831.62270 2.37750e-18
3833.09520 2.48848e-18
3834.56770 2.61768e-18
3836.03018 2.65576e-18
3837.50268 2.69889e-18
3838.97518 2.79248e-18
3840.44768 2.59481e-18
3841.92018 2.53263e-18
3843.38266 2.69030e-18
3844.85516 2.95622e-18
3846.32766 2.99867e-18
3847.79014 3.03935e-18
3849.26264 3.03229e-18
3850.73514 3.06011e-18
3852.20764 2.96257e-18
3853.67012 3.24407e-18
3855.14262 3.63665e-18
3856.61512 3.55314e-18
3858.08762 3.61222e-18
3859.55010 3.86222e-18
3861.02260 3.89070e-18
3862.49510 3.97335e-18
3863.96760 4.12674e-18
3865.43008 4.25411e-18
3866.90258 4.15745e-18
3868.37508 4.44096e-18
3869.84758 4.79955e-18
3871.31006 4.94919e-18
3872.78256 4.77423e-18
3874.25506 4.86424e-18
3875.72756 4.98743e-18
3877.19004 5.46110e-18
3878.66254 5.55372e-18
3880.13504 5.86982e-18
3881.60753 5.95266e-18
3883.07002 6.03117e-18
3884.54252 6.26533e-18
3886.01501 6.30723e-18
3887.48751 6.59687e-18
3888.94999 6.88722e-18
3890.42249 7.07822e-18
3891.89499 7.34891e-18
3893.36749 7.30228e-18
3894.82997 7.46397e-18
3896.30247 7.60234e-18
3897.77497 7.67353e-18
3899.24747 7.64458e-18
3900.70995 7.82001e-18
3902.18245 8.20789e-18
3903.65495 8.37747e-18
3905.12745 8.26400e-18
3906.58993 8.53598e-18
3908.06243 8.79421e-18
3909.53493 8.62480e-18
3911.00743 8.57731e-18
3912.46991 8.82090e-18
3913.94241 9.09345e-18
3915.41491 9.41680e-18
3916.88741 9.22357e-18
3918.34989 8.97654e-18
3919.82239 9.02466e-18
3921.29489 9.36624e-18
3922.76739 9.64227e-18
3924.22987 9.44513e-18
3925.70237 9.59731e-18
3927.17487 9.58912e-18
3928.64737 8.98540e-18
3930.10985 8.67393e-18
3931.58235 8.55133e-18
3933.05485 8.37515e-18
3934.51733 8.74425e-18
3935.98983 8.77041e-18
3937.46233 8.81361e-18
3938.93483 8.80088e-18
3940.39731 8.71343e-18
3941.86981 8.68529e-18
3943.34231 8.82216e-18
3944.81480 9.13494e-18
3946.27729 9.15890e-18
3947.74979 8.95618e-18
3949.22228 8.81203e-18
3950.69478 8.70230e-18
3952.15726 8.59582e-18
3953.62976 8.56838e-18
3955.10226 8.46947e-18
3956.57476 8.53042e-18
3958.03724 8.68104e-18
3959.50974 8.32630e-18
3960.98224 8.06376e-18
3962.45474 8.02588e-18
3963.91722 8.10226e-18
3965.38972 7.67608e-18
