# wavelength flux
3475.00164 8.31698e-18
3476.46982 1.20406e-17
3477.93799 9.31371e-18
3479.40617 5.96842e-18
3480.88440 5.15935e-18
3482.35258 7.35392e-18
3483.82075 7.25909e-18
3485.28893 7.73360e-18
3486.75710 1.18758e-17
3488.22528 1.04167e-17
3489.70351 6.85595e-18
3491.17169 8.52774e-18
3492.63986 7.61810e-18
3494.10804 7.08783e-18
3495.57622 6.64684e-18
3497.05445 1.00144e-17
3498.52262 7.15432e-18
3499.99080 4.76951e-18
3501.45898 5.28785e-18
3502.92715 9.91496e-18
3504.39533 1.18666e-17
3505.87356 3.68377e-18
3507.34174 -1.56513e-18
3508.80991 -1.44827e-18
3510.27809 2.23906e-18
3511.74626 9.42235e-18
3513.22450 8.00954e-18
3514.69267 1.01506e-17
3516.16085 7.22329e-18
3517.62902 9.40499e-18
3519.09720 1.73726e-17
3520.56538 9.16641e-18
3522.04361 5.44153e-18
3523.51178 6.21305e-18
3524.97996 8.30164e-18
3526.44814 1.38287e-17
3527.91631 9.10361e-18
3529.39454 9.38800e-18
3530.86272 1.07037e-17
3532.33090 4.24086e-18
3533.79907 1.08447e-17
3535.26725 4.86280e-18
3536.73542 1.48405e-18
3538.21366 -4.56040e-18
3539.68183 5.62125e-18
3541.15001 7.25149e-18
3542.61818 6.99619e-18
3544.08636 7.69342e-18
3545.56459 1.08857e-17
3547.03277 1.22973e-17
3548.50094 7.47399e-18
3549.96912 1.31385e-17
3551.43730 1.30333e-17
3552.90547 6.67674e-18
3554.38370 9.11064e-18
3555.85188 1.69806e-17
3557.32006 2.07033e-17
3558.78823 1.34310e-17
3560.25641 1.16762e-17
3561.73464 3.70859e-18
3563.20282 1.22207e-17
3564.67099 9.92598e-18
3566.13917 1.02132e-17
3567.60734 1.52321e-17
3569.07552 1.32053e-17
3570.55375 9.21573e-18
3572.02193 8.35577e-18
3573.49010 8.27785e-18
3574.95828 3.72290e-18
3576.42646 3.95849e-18
3577.90469 7.44809e-18
3579.37286 9.38601e-18
3580.84104 9.51779e-18
3582.30922 1.36489e-17
3583.77739 8.00927e-18
3585.24557 6.93944e-18
3586.72380 1.07990e-17
3588.19198 8.96424e-18
3589.66015 8.79324e-18
3591.12833 1.00095e-17
3592.59650 8.10391e-18
3594.07474 8.71065e-18
3595.54291 5.12113e-18
3597.01109 8.39478e-18
3598.47926 1.41483e-17
3599.94744 1.14327e-17
3601.41562 4.16140e-18
3602.89385 8.02881e-18
3604.36202 3.45168e-18
3605.83020 6.32060e-18
3607.29838 1.37766e-17
3608.76655 1.02309e-17
3610.24478 1.17843e-17
3611.71296 6.17413e-18
3613.18114 2.51481e-18
3614.64931 5.21877e-18
3616.11749 2.98068e-18
3617.58566 6.14261e-18
3619.06390 8.03721e-18
3620.53207 1.18879e-17
3622.00025 8.23411e-18
3623.46842 6.48721e-18
3624.93660 8.11039e-18
3626.41483 6.49164e-18
3627.88301 8.97274e-18
3629.35118 3.65847e-18
3630.81936 9.00888e-18
3632.28754 1.23928e-17
3633.75571 1.41635e-17
3635.23394 1.27365e-17
3636.70212 1.22278e-17
3638.17030 1.17769e-17
3639.63847 8.89995e-18
3641.10665 1.06266e-17
3642.58488 9.61994e-18
3644.05306 7.63069e-18
3645.52123 1.04379e-17
3646.98941 1.01895e-17
3648.45758 1.19190e-17
