# wavelength flux
3707.85345 4.42781e-19
3709.32566 1.06430e-18
3710.78785 3.37298e-18
3712.26005 2.74445e-18
3713.73226 2.94256e-18
3715.20446 3.14072e-18
3716.67667 3.26909e-18
3718.13886 3.39745e-18
3719.61106 3.52577e-18
3721.08327 3.65410e-18
3722.55547 3.78242e-18
3724.01766 3.91070e-18
3725.48987 4.03899e-18
3726.96207 4.16729e-18
3728.43428 4.29555e-18
3729.89647 4.42379e-18
3731.36867 4.55202e-18
3732.84088 4.68025e-18
3734.31308 4.80847e-18
3735.78529 4.93665e-18
3737.24748 5.06483e-18
3738.71968 5.19303e-18
3740.19189 5.32119e-18
3741.66409 5.44932e-18
3743.12628 5.57746e-18
3744.59848 5.70558e-18
3746.07069 5.83370e-18
3747.54290 5.96178e-18
3749.01510 6.08987e-18
3750.47729 6.21794e-18
3751.94950 6.34603e-18
3753.42170 6.47406e-18
3754.89391 6.20736e-18
3756.35610 5.77251e-18
3757.82830 4.55476e-18
3759.30051 2.72314e-18
3760.77271 4.59782e-18
3762.23490 6.84484e-18
3763.70711 4.61156e-18
3765.17931 3.88329e-18
3766.65152 1.00265e-17
3768.12372 9.66787e-18
3769.58591 8.49316e-18
3771.05812 8.47515e-18
3772.53032 6.26755e-18
3774.00253 9.65171e-18
3775.46472 9.08832e-18
3776.93692 1.77237e-18
3778.40913 -1.90275e-18
3779.88133 3.04533e-19
3781.35354 4.25102e-18
3782.81573 5.20820e-18
3784.28793 7.17157e-18
3785.76014 7.17177e-18
3787.23234 6.21152e-18
3788.69453 1.00134e-17
3790.16673 1.19298e-17
3791.63894 8.50213e-18
3793.11114 5.84294e-18
3794.58335 5.55735e-18
3796.04554 8.46151e-18
3797.51775 7.27156e-18
3798.98995 6.98964e-18
3800.46216 7.61157e-18
3801.92435 6.21900e-18
3803.39655 6.91468e-18
3804.86876 5.48956e-18
3806.34096 3.67514e-18
3807.80315 3.25742e-18
3809.27536 4.23020e-18
3810.74756 8.54144e-18
3812.21977 8.32607e-18
3813.69197 8.12586e-18
3815.15416 9.66274e-18
3816.62637 7.32584e-18
3818.09857 9.91591e-18
3819.57078 1.13164e-17
3821.03297 6.63399e-18
3822.50517 5.82822e-18
3823.97738 7.06820e-18
3825.44958 9.28394e-18
3826.92179 8.62922e-18
3828.38398 7.58732e-18
3829.85618 8.27451e-18
3831.32839 6.75042e-18
3832.80059 5.23259e-18
3834.26278 4.51237e-18
3835.73499 7.39019e-18
3837.20719 7.69316e-18
3838.67940 6.98749e-18
3840.15160 7.26323e-18
3841.61379 5.45725e-18
3843.08600 7.61667e-18
3844.55820 9.36854e-18
3846.03040 8.49791e-18
3847.49260 7.94088e-18
3848.96480 6.87908e-18
3850.43701 6.43554e-18
3851.90921 5.75535e-18
3853.37140 5.78527e-18
3854.84361 9.46582e-18
3856.31581 1.26178e-17
3857.78802 9.19401e-18
3859.26022 7.38623e-18
3860.72241 6.83021e-18
3862.19461 7.33281e-18
3863.66682 1.13626e-17
3865.13902 9.34129e-18
3866.60122 6.46949e-18
3868.07342 7.62279e-18
3869.54563 8.24277e-18
3871.01783 4.73820e-18
3872.49004 8.06808e-18
3873.95223 1.02179e-17
3875.42443 8.87811e-18
3876.89664 1.17608e-17
3878.36884 1.19465e-17
3879.83103 8.43742e-18
3881.30323 8.57956e-18
3882.77544 1.19969e-17
3884.24764 1.21894e-17
3885.71985 8.80006e-18
3887.18204 7.50855e-18
3888.65425 7.26557e-18
3890.12645 9.68413e-18
3891.59866 1.17430e-17
3893.06085 9.22005e-18
3894.53305 7.07571e-18
3896.00526 8.68310e-18
3897.47746 1.09426e-17
3898.93965 1.24937e-17
3900.41186 1.12859e-17
3901.88406 1.26924e-17
3903.35627 1.45649e-17
3904.82847 1.45679e-17
3906.29066 1.68984e-17
3907.76287 1.45569e-17
3909.23507 9.73803e-18
3910.70728 9.89993e-18
3912.16946 9.95205e-18
3913.64167 1.23290e-17
3915.11388 1.38892e-17
3916.58608 1.32112e-17
3918.05829 1.11653e-17
3919.52048 1.02139e-17
3920.99268 1.25109e-17
3922.46489 1.16516e-17
3923.93709 1.23384e-17
3925.39928 1.28707e-17
3926.87149 1.05793e-17
3928.34369 8.12597e-18
3929.81590 1.04775e-17
3931.28810 9.22619e-18
3932.75029 9.57227e-18
3934.22249 9.88698e-18
3935.69470 7.81551e-18
3937.16691 7.03051e-18
3938.62910 8.07573e-18
3940.10130 1.04635e-17
3941.57351 7.64555e-18
3943.04571 8.11693e-18
3944.50790 9.36805e-18
3945.98011 1.12239e-17
3947.45231 1.01914e-17
3948.92452 1.04811e-17
3950.39672 1.01770e-17
3951.85891 6.97376e-18
3953.33111 7.19708e-18
3954.80332 1.07150e-17
3956.27553 1.08159e-17
3957.73772 1.20379e-17
3959.20992 1.18678e-17
3960.68213 1.03607e-17
3962.15433 6.19096e-18
3963.62654 3.36468e-18
3965.08873 5.29942e-18
3966.56093 8.72644e-18
3968.03314 7.00188e-18
3969.50534 5.41943e-18
3970.96753 7.76374e-18
3972.43973 9.03238e-18
3973.91194 8.47025e-18
3975.38414 8.57154e-18
3976.85635 9.35796e-18
3978.31854 8.33327e-18
3979.79075 1.12123e-17
3981.26295 1.16584e-17
3982.73516 1.14603e-17
3984.19735 1.22062e-17
3985.66955 1.16611e-17
3987.14176 1.11085e-17
3988.61396 1.13876e-17
3990.07615 1.14046e-17
3991.54836 1.14990e-17
3993.02056 1.23370e-17
3994.49277 1.09430e-17
3995.96497 1.38689e-17
3997.42716 1.50885e-17
3998.89937 1.22589e-17
4000.37157 9.73944e-18
4001.84378 1.07480e-17
4003.30597 9.59791e-18
4004.77817 1.09594e-17
4006.25038 1.08835e-17
4007.72258 9.73915e-18
4009.19479 1.23330e-17
4010.65698 1.62692e-17
4012.12918 1.41132e-17
4013.60139 1.34660e-17
4015.07359 1.52903e-17
4016.53578 1.59557e-17
4018.00799 1.65967e-17
4019.48019 1.57532e-17
4020.95240 1.28240e-17
4022.42460 1.37869e-17
4023.88679 1.13596e-17
4025.35900 1.24584e-17
4026.83120 1.27129e-17
4028.30341 1.44018e-17
4029.76560 1.42055e-17
4031.23780 1.21731e-17
4032.71001 1.19912e-17
4034.18221 1.49267e-17
4035.64440 1.20513e-17
4037.11661 1.05139e-17
4038.58881 1.44687e-17
4040.06102 1.08153e-17
4041.53322 1.35932e-17
4042.99541 1.09626e-17
4044.46762 1.20621e-17
4045.93982 1.60415e-17
4047.41203 1.45816e-17
4048.87422 1.08817e-17
4050.34642 1.00577e-17
4051.81863 1.26491e-17
4053.29083 1.12095e-17
4054.76304 1.54962e-17
4056.22523 1.65807e-17
4057.69743 1.12093e-17
4059.16964 1.07490e-17
4060.64184 1.36475e-17
4062.10403 1.24491e-17
4063.57623 1.35788e-17
4065.04844 1.31491e-17
4066.52065 1.20320e-17
4067.98284 1.59824e-17
4069.45504 1.26730e-17
4070.92725 1.21609e-17
4072.39945 1.23807e-17
4073.87166 1.06737e-17
4075.33385 1.20130e-17
4076.80605 1.25856e-17
4078.27826 1.43149e-17
4079.75046 1.19726e-17
4081.21265 1.01679e-17
4082.68486 1.37276e-17
4084.15706 1.49910e-17
4085.62927 1.16483e-17
4087.10147 1.24233e-17
4088.56366 1.10312e-17
4090.03587 1.16616e-17
4091.50807 1.25335e-17
4092.98028 1.07741e-17
4094.44247 1.13982e-17
4095.91467 1.21867e-17
4097.38688 1.00318e-17
4098.85908 1.02157e-17
4100.33129 1.09188e-17
4101.79348 1.11993e-17
4103.26568 1.05825e-17
4104.73789 7.84614e-18
4106.21009 1.23357e-17
4107.67228 1.22630e-17
4109.14448 7.93619e-18
4110.61669 7.32153e-18
4112.08890 6.72968e-18
4113.56110 7.46794e-18
4115.02329 1.31413e-17
4116.49550 1.10902e-17
4117.96770 8.49364e-18
4119.43991 1.16017e-17
4120.90209 1.04262e-17
4122.37430 9.03638e-18
4123.84651 9.92750e-18
4125.31871 1.03552e-17
4126.78090 1.02828e-17
4128.25310 1.22190e-17
4129.72531 1.07356e-17
4131.19752 8.85658e-18
4132.66972 1.05642e-17
4134.13191 1.27559e-17
4135.60412 8.80739e-18
4137.07632 1.14208e-17
4138.54853 1.39622e-17
4140.01072 8.88431e-18
4141.48292 1.22935e-17
4142.95513 9.26493e-18
4144.42733 1.15534e-17
4145.89953 1.12307e-17
4147.36172 1.25754e-17
4148.83393 1.11894e-17
4150.30614 1.08537e-17
4151.77834 1.03990e-17
4153.24053 1.16835e-17
4154.71274 1.22655e-17
4156.18494 1.02316e-17
4157.65715 7.23646e-18
4159.12935 1.04300e-17
4160.59154 1.13203e-17
4162.06375 1.16901e-17
4163.53595 1.06852e-17
4165.00816 1.16733e-17
4166.47034 1.08468e-17
4167.94255 9.87256e-18
4169.41476 1.14272e-17
4170.88696 1.10327e-17
4172.34915 9.49502e-18
4173.82136 1.35586e-17
4175.29356 1.26364e-17
4176.76577 9.40720e-18
4178.23797 9.94101e-18
4179.70016 1.07729e-17
4181.17237 1.00610e-17
4182.64457 9.42039e-18
4184.11678 9.03424e-18
4185.57897 8.87791e-18
4187.05117 8.93524e-18
4188.52338 7.73485e-18
4189.99558 1.12071e-17
4191.46778 1.27998e-17
4192.92998 1.03653e-17
4194.40218 1.03590e-17
4195.87439 1.08356e-17
4197.34659 1.00722e-17
4198.80878 1.05552e-17
4200.28099 8.53822e-18
4201.75319 9.21962e-18
4203.22540 1.14865e-17
4204.68759 9.99471e-18
4206.15979 1.01547e-17
4207.63199 9.85283e-18
4209.10420 9.04365e-18
4210.57641 1.14226e-17
4212.03859 1.22860e-17
4213.51080 1.03875e-17
4214.98301 9.09120e-18
4216.45521 7.35066e-18
4217.91740 8.72930e-18
4219.38961 9.66050e-18
4220.86181 9.74357e-18
4222.33402 1.06188e-17
