# wavelength flux
3470.99809 2.84180e-17
3472.46831 2.72802e-17
3473.93853 2.48222e-17
3475.40875 1.75755e-17
3476.87897 5.32660e-19
3478.34919 1.17603e-17
3479.81941 1.64583e-17
3481.28963 2.19495e-17
3482.75985 3.26503e-17
3484.23007 3.04748e-17
3485.70029 2.82995e-17
3487.17051 2.61244e-17
3488.64073 2.39495e-17
3490.11095 2.17748e-17
3491.58117 1.96003e-17
3493.05139 1.95994e-17
3494.52161 1.51865e-17
3495.99183 1.05245e-17
3497.46205 1.54919e-17
3498.93227 2.67645e-17
3500.40249 9.57455e-18
3501.87271 -3.68443e-19
3503.34293 5.41653e-18
3504.81315 1.36118e-17
3506.28337 9.79349e-18
3507.75359 2.41547e-17
3509.22381 2.08560e-17
3510.69403 7.60909e-18
3512.16425 1.34313e-17
3513.63447 2.91785e-18
3515.10469 9.54281e-18
3516.57491 2.27361e-17
3518.03506 1.13230e-17
3519.50528 2.39269e-18
3520.97550 6.12464e-19
3522.44572 4.60278e-18
3523.91594 1.38031e-17
3525.38616 2.31057e-17
3526.85638 1.07472e-17
3528.32660 6.57910e-18
3529.79682 1.92517e-17
3531.26704 1.82052e-17
3532.73726 2.01709e-17
3534.20748 1.57696e-17
3535.67770 2.55574e-17
3537.14792 9.34394e-18
3538.61814 -6.92802e-18
3540.08836 1.22128e-17
3541.55858 1.11638e-17
3543.02880 4.29462e-18
3544.49902 1.92386e-17
3545.96924 1.64543e-17
3547.43946 1.31173e-17
3548.90968 1.91544e-17
3550.37990 1.28855e-17
3551.85012 2.51766e-17
3553.32034 7.55035e-18
3554.79056 1.46590e-17
3556.26078 1.54624e-17
3557.73100 1.14286e-17
3559.20122 4.49051e-18
3560.67144 6.82936e-18
3562.14166 3.05407e-17
3563.61188 4.09693e-17
3565.08210 1.80415e-17
3566.55232 -1.48048e-18
3568.02254 1.50264e-17
3569.49276 1.47934e-17
3570.96298 1.36627e-17
3572.43320 8.03410e-18
3573.90342 1.63766e-17
3575.37364 1.92178e-17
3576.84386 1.08994e-17
3578.31408 1.31835e-17
3579.78430 1.24609e-17
3581.25452 8.98056e-18
3582.72474 1.09207e-17
3584.19496 1.92393e-17
3585.65511 3.26674e-17
3587.12533 1.51081e-17
3588.59555 1.08243e-17
3590.06577 2.05504e-17
3591.53599 3.08067e-17
3593.00621 3.62975e-17
3594.47643 3.28183e-17
3595.94665 2.53624e-17
3597.41687 2.79981e-17
3598.88709 1.70832e-17
3600.35731 1.08534e-17
3601.82753 5.57560e-18
3603.29775 9.55482e-18
3604.76797 1.18147e-17
3606.23819 1.67192e-17
3607.70841 1.54574e-17
3609.17863 1.88586e-17
3610.64885 2.59760e-17
3612.11907 2.73875e-17
3613.58929 1.04254e-17
3615.05951 6.31500e-18
3616.52973 1.57961e-17
3617.99995 6.52784e-18
3619.47017 4.88121e-18
3620.94039 -8.06180e-19
3622.41061 4.39374e-18
3623.88083 1.74057e-17
3625.35105 7.25037e-18
3626.82127 2.18552e-17
3628.29149 1.98754e-17
3629.76171 1.73147e-17
3631.23193 1.49977e-18
3632.70215 3.85557e-18
3634.17237 1.09335e-17
3635.64259 1.65890e-17
3637.11281 2.13654e-17
3638.58303 1.68564e-17
3640.05325 6.99144e-18
3641.52347 9.58149e-18
3642.99369 1.07086e-17
3644.46391 1.89635e-17
3645.93413 1.77572e-17
3647.40435 2.17608e-17
3648.87457 1.24122e-17
3650.34479 1.28543e-17
3651.81501 1.03943e-17
3653.28523 -1.54037e-18
3654.74538 -4.72635e-18
3656.21560 2.05602e-17
3657.68582 1.94274e-17
3659.15604 -3.48494e-19
3660.62626 -6.20788e-18
3662.09648 5.83590e-18
3663.56670 1.38858e-17
3665.03692 6.61132e-18
3666.50714 2.90252e-18
3667.97736 1.02064e-17
3669.44758 3.70282e-18
3670.91780 7.19458e-19
3672.38802 1.03225e-17
3673.85824 1.56376e-17
3675.32846 1.45729e-17
3676.79868 1.27368e-17
3678.26890 4.94687e-18
3679.73912 -3.91156e-19
3681.20934 -4.04251e-18
3682.67956 7.70164e-18
3684.14978 1.39802e-17
3685.62000 5.11325e-18
3687.09022 3.35865e-18
3688.56044 1.28495e-17
3690.03066 6.31039e-18
3691.50088 -1.27062e-18
3692.97110 -8.93543e-19
3694.44132 1.41122e-17
3695.91154 1.19045e-17
3697.38176 1.09119e-17
3698.85198 1.54495e-17
3700.32220 8.89308e-18
3701.79242 4.56822e-18
3703.26264 3.54227e-19
3704.73286 1.09838e-19
3706.20308 1.22310e-17
