# wavelength flux
3494.99531 5.34971e-18
3496.46555 1.82368e-17
3497.93579 1.34003e-17
3499.40603 -6.13179e-18
3500.87627 1.09518e-17
3502.34651 1.24906e-17
3503.81675 2.59518e-17
3505.28699 2.64807e-17
3506.75723 -9.18630e-18
3508.22747 -1.05040e-17
3509.69771 1.49279e-17
3511.16795 2.52033e-17
3512.63819 2.59322e-17
3514.10843 2.64397e-17
3515.57867 9.89292e-18
3517.04891 -4.05303e-18
3518.51915 2.37068e-17
3519.98939 2.81774e-17
3521.45963 3.86278e-17
3522.92987 1.30502e-18
3524.40011 -1.64404e-17
3525.87035 1.23425e-19
3527.34059 -6.23274e-18
3528.81083 -1.56340e-17
3530.28107 2.50592e-17
3531.75131 3.63692e-17
3533.22155 5.85841e-18
3534.69179 -4.18835e-18
3536.16203 9.29025e-18
3537.63227 1.50876e-17
3539.10251 5.76011e-19
3540.57275 -1.64963e-18
3542.04299 2.45975e-17
3543.51323 8.44618e-18
3544.98347 -9.64883e-18
3546.45371 2.41184e-19
3547.92395 -1.50961e-17
3549.39419 -3.51750e-17
3550.86443 -2.90637e-18
3552.33467 1.53045e-17
3553.80491 -1.51518e-17
3555.26494 -4.76033e-18
3556.73518 5.62694e-18
3558.20542 1.60100e-17
3559.67566 2.63889e-17
3561.14590 3.67635e-17
3562.61614 3.67561e-17
3564.08638 -1.80582e-17
3565.55662 1.27718e-17
3567.02686 1.25412e-17
3568.49710 -1.77224e-18
3569.96734 -1.22606e-17
3571.43758 1.62110e-18
3572.90782 1.67536e-17
3574.37806 -7.78526e-18
3575.84830 -7.96633e-18
3577.31854 1.39838e-17
3578.78878 1.28536e-17
3580.25902 3.84875e-18
3581.72926 2.81711e-18
3583.19950 6.08619e-18
3584.66974 1.33209e-17
3586.13998 2.09263e-17
3587.61022 1.67207e-17
3589.08046 7.01101e-18
3590.55070 8.99351e-18
3592.02094 1.96317e-17
3593.49118 3.10244e-17
3594.96142 1.60914e-17
3596.43166 1.03747e-17
3597.90190 -3.63505e-18
3599.37214 -1.51350e-17
3600.84238 -1.46624e-17
3602.31262 -1.40782e-17
3603.78286 -5.00589e-18
3605.25310 1.58431e-17
3606.72334 2.45186e-17
3608.19358 2.01641e-17
3609.66382 2.48804e-17
3611.13406 1.14691e-17
3612.60430 1.00277e-20
3614.07454 8.24365e-18
3615.54478 4.38477e-18
3617.00481 3.31491e-18
3618.47505 -7.31019e-19
3619.94529 -3.84939e-19
3621.41553 7.62250e-19
3622.88577 -6.33154e-18
3624.35601 -1.30461e-17
3625.82625 -1.17916e-17
3627.29649 -6.70184e-18
3628.76673 1.42865e-17
3630.23697 2.81758e-17
3631.70721 2.20233e-17
3633.17745 8.03661e-18
3634.64769 1.66743e-17
3636.11793 8.78513e-18
3637.58817 -5.83603e-18
3639.05841 -7.14917e-18
3640.52865 -1.14012e-17
3641.99889 8.42036e-18
3643.46913 5.56639e-20
3644.93937 -6.75608e-18
3646.40961 -2.68211e-18
3647.87985 -5.49394e-18
3649.35009 -1.12779e-17
3650.82033 1.06101e-17
3652.29057 2.96425e-17
3653.76081 1.35715e-18
3655.23105 2.87572e-19
3656.70129 2.32641e-17
3658.17153 2.21773e-17
3659.64177 -1.61811e-17
3661.11201 -1.66021e-17
3662.58225 4.82645e-18
3664.05249 -1.25726e-18
3665.52273 -3.62124e-18
3666.99297 -1.06643e-17
3668.46321 -1.40387e-17
3669.93345 4.52519e-18
3671.40369 2.37289e-17
3672.87393 2.59247e-17
3674.34417 4.08916e-18
3675.81441 -6.24625e-19
3677.28465 -4.39108e-18
3678.75489 -1.01880e-18
3680.21492 3.66666e-19
3681.68516 1.10488e-18
3683.15540 -9.32470e-18
3684.62564 -1.81411e-17
3686.09588 -5.34721e-18
3687.56612 6.85778e-19
3689.03636 -5.49813e-18
3690.50660 -2.23713e-18
3691.97684 -1.29624e-18
3693.44708 -5.98095e-18
3694.91732 3.34744e-19
3696.38756 7.16843e-18
3697.85780 6.54529e-18
3699.32804 8.95865e-18
3700.79828 2.20878e-17
3702.26852 1.49988e-17
3703.73876 1.18209e-18
3705.20900 1.46331e-17
3706.67924 9.00476e-18
3708.14948 6.44329e-18
3709.61972 2.28803e-17
3711.08996 1.90462e-17
3712.56020 1.16476e-17
3714.03044 -3.03661e-19
3715.50068 -3.60969e-18
3716.97092 3.12937e-18
3718.44116 2.87310e-18
3719.91140 4.96338e-18
3721.38164 6.51643e-18
3722.85188 -2.61385e-18
3724.32212 7.60109e-18
3725.79236 2.93673e-17
3727.26260 2.10081e-17
3728.73284 8.79434e-18
3730.20308 -3.24036e-18
3731.67332 -5.26756e-18
3733.14356 1.67235e-18
3734.61380 2.01735e-18
3736.08404 1.25879e-17
3737.55428 9.11109e-18
3739.02452 1.95014e-18
3740.49476 -1.29359e-17
3741.95479 -1.15854e-17
3743.42503 9.88280e-18
3744.89527 2.12289e-17
3746.36551 7.17301e-18
3747.83575 -1.42589e-18
3749.30599 -5.15761e-18
3750.77623 8.64437e-18
3752.24647 5.90201e-18
3753.71671 1.62500e-18
3755.18695 6.41671e-18
3756.65719 -2.82544e-18
3758.12743 5.04896e-18
3759.59767 1.15650e-17
3761.06791 1.07350e-17
3762.53815 1.17221e-17
3764.00839 1.99897e-18
3765.47863 -6.78816e-18
3766.94887 6.40475e-19
3768.41911 5.25256e-18
3769.88935 3.52126e-18
3771.35959 -2.46303e-18
3772.82983 1.71794e-18
3774.30007 1.05214e-17
3775.77031 1.07167e-18
3777.24055 -3.29343e-18
3778.71079 -4.35353e-18
3780.18103 -3.83696e-18
3781.65127 9.79798e-18
3783.12151 1.24692e-18
3784.59175 -4.73854e-18
3786.06199 9.09674e-18
3787.53223 7.91764e-18
3789.00247 5.55327e-18
3790.47271 5.31864e-18
3791.94295 -4.56550e-18
3793.41319 -1.54487e-18
3794.88343 3.64836e-18
3796.35367 -7.81470e-18
3797.82391 -9.95150e-18
3799.29415 8.24869e-18
3800.76439 1.13583e-17
3802.23463 2.70231e-18
3803.70487 -5.96650e-19
3805.16490 -1.24217e-18
3806.63514 -2.85539e-18
3808.10538 -2.49613e-18
3809.57562 -2.04435e-18
3811.04586 7.31782e-18
3812.51610 2.03508e-17
3813.98634 1.07447e-17
3815.45658 -1.12461e-17
3816.92682 -2.35103e-17
3818.39706 -3.55917e-17
3819.86730 -3.45063e-17
3821.33754 -1.41035e-17
3822.80778 5.37379e-18
3824.27802 1.06502e-17
3825.74826 9.72342e-18
3827.21850 -3.35039e-18
3828.68874 -6.72838e-18
3830.15898 8.18452e-18
3831.62922 8.09064e-18
3833.09946 -5.70380e-19
3834.56970 -8.58400e-18
3836.03994 -1.05947e-18
3837.51018 5.78994e-18
3838.98042 3.97934e-18
3840.45066 7.94678e-18
3841.92090 6.90552e-21
3843.39114 -5.39031e-18
3844.86138 -6.44255e-19
3846.33162 1.62603e-18
3847.80186 1.07225e-18
3849.27210 7.50812e-19
3850.74234 1.22057e-17
3852.21258 1.27678e-17
3853.68282 -1.72636e-18
3855.15306 -5.23393e-18
3856.62330 -4.32190e-18
3858.09354 -2.81746e-18
3859.56378 -2.04333e-18
3861.03402 1.56850e-18
3862.50426 8.36534e-18
3863.97450 6.38723e-18
3865.44474 1.75436e-18
3866.91498 -1.61721e-19
3868.37501 1.72370e-18
3869.84525 -1.82679e-18
3871.31549 -2.92186e-18
3872.78573 7.17344e-19
3874.25597 5.63518e-18
3875.72621 1.10715e-17
3877.19645 1.18694e-17
3878.66669 7.46142e-18
3880.13693 6.69027e-18
3881.60717 9.67175e-18
3883.07741 3.36204e-18
3884.54765 -5.59080e-18
3886.01789 -7.19090e-18
3887.48813 -6.72282e-18
3888.95837 -1.27027e-17
3890.42861 -1.74779e-17
3891.89885 -1.36060e-17
3893.36909 -5.20513e-18
3894.83933 1.19220e-18
3896.30957 -3.69052e-18
3897.77981 -4.92356e-18
3899.25005 3.59709e-18
3900.72029 3.20396e-18
3902.19053 1.07586e-18
3903.66077 -2.12454e-19
3905.13101 -2.20643e-18
3906.60125 -1.02126e-19
3908.07149 3.58091e-18
3909.54173 1.16821e-17
3911.01197 1.04371e-17
3912.48221 -1.02090e-18
3913.95245 -7.09925e-18
3915.42269 -5.98254e-18
3916.89293 3.25561e-18
3918.36317 7.86941e-18
3919.83341 9.27934e-19
3921.30365 1.15397e-18
3922.77389 6.75616e-18
3924.24413 5.93995e-18
3925.71437 1.94075e-18
3927.18461 -5.28819e-18
3928.64464 -8.70718e-18
3930.11488 -3.78058e-18
3931.58512 2.69462e-18
3933.05536 4.88424e-18
3934.52560 5.92072e-18
3935.99584 2.84804e-18
3937.46608 -1.85291e-18
3938.93632 -3.87631e-19
3940.40656 5.35510e-18
3941.87680 8.13968e-18
3943.34704 1.08046e-19
3944.81728 -1.75446e-18
3946.28752 1.17730e-18
3947.75776 6.64212e-19
3949.22800 -3.21072e-19
3950.69824 -5.15545e-18
3952.16848 -9.15897e-19
3953.63872 3.76430e-18
3955.10896 1.98002e-18
3956.57920 -4.43074e-18
3958.04944 -8.66213e-19
3959.51968 8.64118e-18
3960.98992 4.41438e-18
3962.46016 3.10218e-18
3963.93040 6.81504e-18
3965.40064 -3.61118e-18
3966.87088 -1.74856e-18
3968.34112 5.95149e-18
3969.81136 4.94049e-18
3971.28160 4.02477e-18
3972.75184 -3.49962e-18
3974.22208 -6.85678e-18
3975.69232 -3.90404e-18
3977.16256 2.25335e-18
3978.63280 4.07682e-18
3980.10304 4.22037e-18
3981.57328 2.94153e-18
3983.04352 5.01915e-18
3984.51376 6.95298e-18
3985.98400 5.08245e-18
3987.45424 6.24022e-18
3988.92448 6.78770e-18
3990.39472 6.83839e-18
3991.86496 3.12740e-18
3993.32499 6.37911e-18
3994.79523 4.49313e-18
3996.26547 2.74626e-18
3997.73571 1.29249e-17
3999.20595 1.06173e-17
4000.67619 6.48760e-18
4002.14643 9.26541e-18
4003.61667 9.35807e-18
4005.08691 1.09490e-17
