# wavelength flux
3204.09353 9.40791e-18
3208.66356 1.57211e-18
3213.23360 3.47662e-17
3217.80363 1.88694e-17
3222.38368 -6.86716e-18
3226.95371 -1.08012e-17
3231.52375 2.58445e-18
3236.09378 1.20031e-17
3240.67383 -1.58890e-17
3245.24386 -1.45635e-17
3249.81390 -3.72498e-18
3254.38393 3.01882e-18
3258.96398 -6.89900e-18
3263.53401 2.50716e-17
3268.10405 2.35361e-17
3272.67408 1.22710e-17
3277.25413 -3.91284e-19
3281.82416 1.07627e-17
3286.39420 1.58888e-17
3290.96423 7.80442e-18
3295.54428 7.31567e-18
3300.11431 5.10857e-18
3304.68435 1.65398e-17
3309.25438 3.91752e-18
3313.83443 2.61114e-18
3318.40446 6.11844e-18
3322.97450 1.44452e-17
3327.54453 1.72301e-17
3332.12458 9.60174e-18
3336.69461 1.60131e-17
3341.26465 1.40157e-17
3345.83468 7.80050e-18
3350.41473 8.66155e-18
3354.98476 1.06783e-17
3359.55480 1.01131e-17
3364.12483 1.02221e-17
3368.70488 1.40306e-17
3373.27491 1.47991e-17
3377.84495 1.37345e-17
3382.41498 1.02608e-17
3386.99503 9.72618e-18
3391.56506 1.19133e-17
3396.13510 1.37667e-17
3400.70513 1.41873e-17
3405.28518 1.20108e-17
3409.85521 1.40025e-17
3414.42525 1.52794e-17
3418.99528 1.35145e-17
3423.57533 1.64350e-17
3428.14536 1.59549e-17
3432.71540 1.61535e-17
3437.28543 1.67236e-17
3441.86548 1.58087e-17
3446.43551 1.67549e-17
3451.00555 1.31048e-17
3455.57558 1.33996e-17
3460.15563 1.49521e-17
3464.72566 1.39140e-17
3469.29570 1.51144e-17
3473.86573 1.53144e-17
3478.44578 1.29520e-17
3483.01581 1.25725e-17
3487.58585 1.34583e-17
3492.15588 1.38742e-17
3496.73593 1.34230e-17
3501.30596 1.30541e-17
3505.87600 1.28476e-17
3510.44603 1.48218e-17
3515.02608 1.46181e-17
3519.59611 1.36840e-17
3524.16615 1.31707e-17
3528.73618 1.32532e-17
3533.31623 1.41880e-17
3537.88626 1.46678e-17
3542.45630 1.49593e-17
3547.02633 1.38873e-17
3551.59636 1.49506e-17
3556.17641 1.39543e-17
3560.74645 1.48796e-17
3565.31648 1.37249e-17
3569.88651 1.47043e-17
3574.46656 1.66562e-17
3579.03660 1.64636e-17
3583.60663 1.51368e-17
3588.17666 1.40593e-17
3592.75671 1.40942e-17
3597.32675 1.45829e-17
3601.89678 1.47842e-17
3606.46681 1.45005e-17
3611.04686 1.46394e-17
3615.61690 1.39699e-17
3620.18693 1.37239e-17
3624.75696 1.50387e-17
3629.33701 1.47477e-17
3633.90705 1.41340e-17
3638.47708 1.36063e-17
3643.04711 1.37804e-17
3647.62716 1.45506e-17
3652.19720 1.48090e-17
3656.76723 1.39162e-17
3661.33726 1.44888e-17
3665.91731 1.56724e-17
3670.48735 1.56285e-17
3675.05738 1.56084e-17
3679.62741 1.56483e-17
3684.20746 1.52759e-17
3688.77750 1.55826e-17
3693.34753 1.59802e-17
3697.91756 1.61837e-17
3702.49761 1.62963e-17
3707.06765 1.70989e-17
3711.63768 1.70481e-17
3716.20771 1.68915e-17
3720.78776 1.66592e-17
3725.35780 1.64270e-17
3729.92783 1.61949e-17
