# wavelength flux
3525.90913 -8.62298e-18
3528.51330 -7.53165e-18
3531.11747 -6.97247e-18
3533.73197 -7.79793e-18
3536.32580 -6.07600e-18
3538.92997 -5.06450e-18
3541.54447 -8.00762e-18
3544.14864 -6.80232e-18
3546.75281 -7.36977e-18
3549.35698 -7.06172e-18
3551.96114 -7.43837e-18
3554.56531 -8.29141e-18
3557.16948 -6.71267e-18
3559.77365 -6.76799e-18
3562.37782 -7.65634e-18
3564.98198 -7.26810e-18
3567.58615 -1.52269e-17
3570.19032 -4.61902e-18
3572.79449 -7.53450e-18
3575.39866 -7.46027e-18
3578.00282 -9.60969e-18
3580.60699 -8.45681e-18
3583.21116 -8.12972e-18
3585.81533 -8.97238e-18
3588.41950 -7.87473e-18
3591.02366 -1.15560e-18
3593.62783 -3.45518e-18
3596.23200 -7.03220e-18
3598.83617 -1.61409e-17
3601.44034 -1.32138e-17
3604.05484 -1.03203e-17
3606.65901 -8.43709e-18
3609.26317 -1.05773e-17
3611.86734 -4.20949e-18
3614.47151 -5.94487e-18
3617.07568 -4.08777e-18
3619.67985 -9.30846e-18
3622.28401 -6.09532e-18
3624.88818 -9.41249e-18
3627.49235 -8.99745e-18
3630.09652 -7.58108e-18
3632.70069 -5.23966e-18
3635.30485 -6.33514e-18
3637.90902 -5.52078e-18
3640.51319 -3.35010e-18
3643.11736 -4.61497e-18
3645.72153 -6.85058e-18
3648.32569 -5.56195e-18
3650.92986 -6.33700e-18
3653.53403 -7.25560e-18
3656.13820 -5.84470e-18
3658.74237 -5.01654e-18
3661.34653 -7.28516e-18
3663.95070 -1.03073e-17
3666.55487 -5.24373e-18
3669.16937 -9.64354e-18
3671.77354 -1.26913e-17
3674.37771 -6.57804e-18
3676.98188 -6.41300e-18
3679.58604 -5.94399e-18
3682.19021 -6.92951e-18
3684.79438 -1.27678e-17
3687.39855 -7.21065e-18
3690.00272 -9.07496e-18
3692.60688 -1.02599e-17
3695.21105 -8.72540e-18
3697.81522 -1.09912e-17
3700.41939 -8.54992e-18
3703.02356 -9.54977e-18
3705.62772 -5.95506e-18
3708.23189 -7.18897e-18
3710.83606 -8.48244e-18
3713.44023 -7.96479e-18
3716.04440 -6.86963e-18
3718.64856 -6.38159e-18
3721.25273 -7.98059e-18
3723.85690 -7.52609e-18
3726.46107 -5.72331e-18
3729.06524 -8.98408e-18
3731.67974 -9.52536e-18
3734.28391 -9.73953e-18
3736.88807 -7.44967e-18
3739.49224 -5.27540e-18
3742.09641 -9.60293e-18
3744.70058 -6.01254e-18
3747.30475 -7.81973e-18
3749.90891 -5.11871e-18
3752.51308 -4.36650e-18
3755.11725 -3.25403e-18
3757.72142 -5.15311e-18
3760.32559 -1.55805e-18
3762.92975 -5.02085e-18
3765.53392 -4.35182e-18
3768.13809 -4.61536e-18
3770.74226 -6.80887e-18
3773.34643 -4.82865e-18
3775.95059 -4.61372e-18
3778.55476 -2.69066e-18
3781.15893 -5.04652e-18
3783.76310 -3.56559e-18
3786.36727 -4.49742e-18
3788.97143 -2.57214e-18
3791.57560 -4.69206e-18
3794.17977 -1.08662e-18
3796.78394 1.32276e-18
3799.39844 1.11925e-18
3802.00261 -4.78184e-18
3804.60678 -2.28640e-18
3807.21094 -5.48018e-19
3809.81511 -1.61000e-18
3812.41928 -2.50121e-18
3815.02345 -1.76798e-18
3817.62762 -2.63535e-18
3820.23178 -2.07148e-18
3822.83595 3.05238e-19
3825.44012 5.87273e-19
3828.04429 -1.69887e-18
3830.64846 -2.25725e-18
3859.29430 1.48863e-18
3861.89847 -2.85310e-18
3864.50264 -1.96788e-18
3867.11714 7.70774e-19
3869.72131 7.74811e-19
3872.32548 -1.72255e-18
3874.92965 -4.27953e-19
3877.53381 7.94477e-19
3880.13798 -7.46565e-19
3882.74215 -2.63238e-18
3885.34632 -2.11577e-18
3887.95049 -7.15661e-19
3890.55465 -1.21862e-18
3893.15882 -1.82991e-18
3895.76299 -3.80638e-18
3898.36716 -1.25966e-18
3900.97133 4.76493e-19
3903.57549 -3.84883e-19
3906.17966 -8.17549e-19
3908.78383 -3.56147e-19
3911.38800 1.28889e-18
3913.99217 -9.47141e-19
3916.59633 3.51738e-19
3919.20050 -2.20078e-19
3921.80467 2.47985e-18
3924.40884 1.08649e-18
3927.01301 5.43741e-19
3929.62751 1.14469e-18
3932.23168 6.49134e-20
3934.83584 -2.21161e-19
3937.44001 8.16293e-19
3940.04418 6.16572e-19
3942.64835 1.85718e-19
3945.25252 -2.16010e-19
3947.85668 -1.10600e-19
3950.46085 -8.39083e-19
3953.06502 7.74291e-19
3955.66919 3.60472e-19
3958.27336 9.30572e-19
3960.87752 9.23629e-19
3963.48169 6.95414e-19
3966.08586 2.12748e-18
3968.69003 2.26032e-19
3971.29420 1.53183e-18
3973.89836 6.09891e-19
3976.50253 1.56137e-18
3979.10670 1.04728e-18
3981.71087 1.94350e-18
3984.31504 2.31660e-18
3986.91920 3.73054e-19
3989.52337 -1.63662e-19
3992.12754 2.66364e-18
3994.73171 8.38626e-19
3997.34621 3.69230e-18
3999.95038 1.33168e-18
4002.55455 2.06077e-18
4005.15871 4.10094e-18
4007.76288 1.89595e-18
4010.36705 -5.24564e-19
4012.97122 -7.71729e-19
4015.57539 2.97110e-18
4018.17955 3.21632e-18
4020.78372 -1.30867e-19
4023.38789 -9.58865e-19
4025.99206 5.57499e-19
4028.59623 2.49488e-18
4031.20039 9.29625e-19
4033.80456 1.54491e-18
4036.40873 -1.42122e-18
4039.01290 3.28356e-19
4041.61707 4.16266e-18
4044.22123 8.39569e-19
4046.82540 -7.35249e-20
4049.42957 4.51580e-18
4052.03374 5.50652e-18
4054.63791 4.66169e-18
4057.24207 2.02795e-18
4059.84624 2.48671e-18
4062.46074 2.40064e-18
4065.06491 4.26038e-19
4067.66908 -5.95807e-20
4070.27325 8.43562e-19
4072.87742 2.66680e-18
4075.48158 3.00235e-18
4078.08575 3.58704e-18
4080.68992 1.62418e-18
4083.29409 1.46057e-18
4085.89826 5.81657e-19
4088.50242 2.62711e-18
4091.10659 5.27046e-18
4093.71076 4.47571e-18
4096.31493 3.92702e-18
4098.91910 5.64336e-18
4101.52326 2.85782e-18
4104.12743 5.45742e-18
4106.73160 3.69343e-18
4109.33577 9.99985e-19
4111.93994 1.07825e-18
4114.54410 2.35719e-18
4117.14827 1.49691e-18
4119.75244 6.49597e-19
4122.35661 2.08628e-18
4124.96078 4.27387e-18
4127.56494 2.00513e-18
4130.17945 3.00928e-18
4132.78361 3.22758e-18
4135.38778 4.46910e-18
4137.99195 4.36878e-18
4140.59612 4.33243e-18
4143.20029 3.86473e-18
4145.80445 2.76958e-18
4148.40862 3.58000e-18
4151.01279 4.80023e-18
4153.61696 4.08236e-18
4156.22113 5.10395e-18
4158.82529 4.40871e-18
4161.42946 3.77763e-18
4164.03363 3.11342e-18
4166.63780 5.23065e-18
4169.24197 2.84564e-18
4171.84613 4.18605e-18
4174.45030 4.55913e-18
4177.05447 4.15988e-18
4179.65864 3.42344e-18
4182.26281 3.14882e-18
4184.86697 4.40142e-18
4187.47114 5.53087e-18
4190.08564 4.86481e-18
4192.68981 4.50268e-18
4195.29398 4.42676e-18
4197.89815 3.53598e-18
4200.50232 5.23263e-18
4203.10648 5.88687e-18
4205.71065 5.39163e-18
4208.31482 5.31397e-18
4210.91899 4.83185e-18
4213.52316 4.76391e-18
4216.12732 4.92113e-18
4218.73149 5.02120e-18
4221.33566 5.78354e-18
4223.93983 5.50788e-18
4226.54400 5.56019e-18
4229.14816 5.33699e-18
4231.75233 4.49822e-18
4234.35650 5.86092e-18
4236.96067 5.72007e-18
4239.56484 5.18553e-18
4242.16900 5.28051e-18
4244.77317 4.95976e-18
4247.37734 5.66309e-18
4249.98151 3.71693e-18
4252.58568 5.98679e-18
4255.18984 4.36213e-18
4257.79401 4.08627e-18
4260.40851 4.96872e-18
4263.01268 5.74499e-18
4265.61685 5.99567e-18
4268.22102 6.65296e-18
4270.82519 4.39412e-18
4273.42935 5.14287e-18
4276.03352 4.11753e-18
