# wavelength flux
3800.69422 9.81583e-18
3802.16481 2.21805e-18
3803.62525 -5.18221e-18
3805.09584 1.16562e-18
3806.56643 5.37932e-18
3808.03702 2.79202e-18
3809.50761 6.27368e-18
3810.97820 2.58351e-18
3812.44879 -3.15260e-19
3813.91938 5.11059e-18
3815.38997 1.26795e-17
3816.86056 7.94165e-18
3818.33115 3.26763e-19
3819.80174 1.42384e-17
3821.27233 6.13012e-18
3822.74292 1.60261e-18
3824.21351 9.67863e-18
3825.68410 1.31601e-17
3827.15469 3.61003e-18
3828.61514 -9.34943e-19
3830.08573 8.74176e-18
3831.55632 2.52645e-18
3833.02691 7.50264e-18
3834.49750 1.22887e-18
3835.96809 -4.12829e-19
3837.43868 1.38656e-17
3838.90927 6.73701e-18
3840.37986 -2.00250e-18
3841.85045 -2.93470e-18
3843.32104 7.23305e-19
3844.79163 3.26002e-18
3846.26222 9.43882e-18
3847.73281 1.11272e-17
3849.20340 1.35897e-17
3850.67399 1.44622e-17
3852.14458 9.77106e-18
3853.61517 6.62713e-18
3855.07562 1.35136e-17
3856.54621 1.72309e-17
3858.01680 1.56268e-17
3859.48739 2.37588e-17
3860.95798 1.95810e-17
3862.42857 2.53076e-18
3863.89916 4.33915e-18
3865.36975 9.35703e-18
3866.84034 8.03919e-19
3868.31093 1.24926e-17
3869.78152 1.78131e-17
3871.25211 1.08215e-17
3872.72270 6.71477e-18
3874.19329 1.17700e-17
3875.66388 5.61682e-18
3877.13447 2.11477e-18
3878.60506 8.54716e-18
3880.06551 1.42289e-17
3881.53610 1.12492e-17
3883.00669 7.07973e-18
3884.47728 7.36580e-18
3885.94787 6.08149e-18
3887.41846 4.34220e-18
3888.88905 6.08092e-19
3890.35964 5.86945e-21
3891.83023 3.45315e-18
3893.30082 -4.76917e-18
3894.77141 -3.17603e-18
3896.24200 3.07543e-19
3897.71259 1.38881e-18
3899.18318 6.28961e-18
3900.65377 2.78305e-17
3902.12436 1.63401e-17
3903.59495 6.82380e-18
3905.05540 1.02392e-17
3906.52599 8.99724e-18
3907.99658 1.67333e-17
3909.46717 1.77578e-17
3910.93776 1.29876e-17
3912.40835 1.39186e-17
3913.87894 9.44720e-18
3915.34953 6.67381e-18
3916.82012 5.80534e-18
3918.29071 1.02719e-17
3919.76130 1.02426e-17
3921.23189 8.73532e-18
3922.70248 7.45300e-18
3924.17307 5.42384e-18
3925.64366 1.02070e-17
3927.11425 1.20229e-17
3928.58484 1.14580e-17
3930.04528 1.50785e-17
3931.51587 1.38106e-17
3932.98646 1.29690e-17
3934.45705 1.25913e-17
3935.92764 6.05675e-18
3937.39823 1.24342e-18
3938.86882 4.82949e-18
3940.33941 3.60367e-18
3941.81000 9.11360e-19
3943.28059 8.61890e-18
3944.75118 1.32809e-17
3946.22177 1.29004e-17
3947.69236 1.17661e-17
3949.16295 8.05594e-18
3950.63354 4.81945e-18
3952.10413 2.75058e-18
3953.57472 3.88956e-18
3955.03517 8.77982e-18
3956.50576 1.15157e-17
3957.97635 1.23019e-17
3959.44694 1.63733e-17
3960.91753 1.53379e-17
3962.38812 1.04181e-17
3963.85871 9.49688e-18
3965.32930 1.04781e-17
3966.79989 1.24172e-17
3968.27048 1.39488e-17
3969.74107 1.45995e-17
3971.21166 1.59560e-17
3972.68225 1.35707e-17
3974.15284 8.82620e-18
3975.62343 1.06905e-17
3977.09402 1.33582e-17
3978.56461 1.04427e-17
3980.02506 1.48290e-17
3981.49565 1.97432e-17
3982.96624 1.82398e-17
3984.43683 1.69986e-17
3985.90742 1.27530e-17
3987.37801 1.00518e-17
3988.84860 1.32987e-17
3990.31919 1.39848e-17
3991.78978 1.38393e-17
3993.26037 1.24782e-17
3994.73096 1.33543e-17
3996.20155 1.85075e-17
3997.67214 2.03850e-17
3999.14273 1.57741e-17
4000.61332 7.90727e-18
4002.08391 9.25473e-18
4003.55450 1.63787e-17
4005.02509 1.71294e-17
4006.48554 1.35936e-17
4007.95613 1.08407e-17
4009.42672 1.02355e-17
4010.89731 9.83451e-18
4012.36790 1.02156e-17
4013.83849 1.26787e-17
4015.30908 1.72717e-17
4016.77967 1.83647e-17
4018.25026 1.16766e-17
4019.72085 1.08548e-17
4021.19144 1.60698e-17
4022.66203 1.40236e-17
4024.13262 1.62921e-17
4025.60321 1.94455e-17
4027.07380 1.60943e-17
4028.54439 1.41744e-17
4030.01498 1.54924e-17
4031.47543 1.54643e-17
4032.94602 1.40939e-17
4034.41661 1.76700e-17
4035.88720 1.98763e-17
4037.35779 1.79565e-17
4038.82838 1.42379e-17
4040.29897 1.55783e-17
4041.76956 1.73625e-17
4043.24015 1.78556e-17
4044.71074 1.85094e-17
4046.18133 1.92052e-17
4047.65192 2.06068e-17
4049.12251 1.66978e-17
4050.59310 1.48064e-17
4052.06369 1.79156e-17
4053.53428 2.02934e-17
4055.00487 2.00766e-17
4056.46531 2.03480e-17
4057.93590 2.04483e-17
