# MJD flux flux_err filter
56608.50000 1.23481e-15 1.36476e-16 BessellR
56608.50000 7.90679e-16 1.52931e-16 BessellI
56608.50000 2.17170e-15 1.60017e-16 BessellV
56615.50000 2.95938e-15 8.17705e-17 SDSS_r
56615.50000 2.03986e-15 7.51512e-17 SDSS_i
56618.50000 3.01717e-15 1.11157e-16 BessellR
56618.50000 2.02302e-15 7.45308e-17 BessellI
56618.50000 4.29339e-15 1.58174e-16 BessellV
56618.50000 4.10771e-15 2.64834e-16 BessellB
56619.50000 4.30130e-15 3.16932e-16 BessellB
56619.50000 3.46418e-15 1.27625e-16 BessellR
56619.50000 4.62168e-15 1.70269e-16 BessellV
56619.50000 2.17771e-15 8.02298e-17 BessellI
56620.50000 3.59418e-15 9.93109e-17 BessellR
56620.50000 2.23872e-15 6.18581e-17 BessellI
56620.50000 4.03274e-15 2.22857e-16 BessellB
56620.50000 4.49573e-15 2.07036e-16 BessellV
56621.50000 4.33311e-15 1.59638e-16 BessellV
56621.50000 3.07327e-15 1.69835e-16 BessellR
56621.50000 3.64418e-15 4.36334e-16 BessellB
56621.50000 2.13796e-15 1.37840e-16 BessellI
56622.50000 2.17771e-15 8.02298e-17 BessellI
56622.50000 3.67790e-15 2.03248e-16 BessellB
56622.50000 3.13040e-15 1.44160e-16 BessellR
56622.50000 4.53733e-15 1.25371e-16 BessellV
56624.50000 3.36977e-15 9.31101e-17 BessellR
56624.50000 3.05915e-15 2.53582e-16 BessellB
56624.50000 4.06256e-15 1.49670e-16 BessellV
56624.50000 2.34423e-15 6.47734e-17 BessellI
56625.50000 2.78997e-15 2.82663e-16 BessellB
56625.50000 3.98841e-15 2.57142e-16 BessellV
56625.50000 3.36977e-15 9.31101e-17 BessellR
56625.50000 2.30144e-15 1.05985e-16 BessellI
56631.50000 2.00447e-15 2.58466e-16 BessellI
56631.50000 2.63512e-15 3.15514e-16 BessellV
56631.50000 2.75169e-15 2.28096e-16 BessellR
56633.40000 1.37278e-15 2.52875e-17 BessellB
56633.40000 1.89496e-15 5.23597e-17 SDSS_i
56633.40000 2.60136e-15 7.18782e-17 SDSS_r
56633.40000 2.33776e-15 4.30631e-17 BessellV
56633.50000 1.86037e-15 6.85387e-17 SDSS_i
56633.50000 1.36019e-15 3.75835e-17 BessellB
56633.50000 2.60136e-15 1.19797e-16 SDSS_r
56633.50000 2.31633e-15 6.40025e-17 BessellV
56634.40000 2.62543e-15 2.41811e-17 SDSS_r
56634.40000 1.93019e-15 1.77777e-17 SDSS_i
56634.40000 1.37278e-15 2.52875e-17 BessellB
56634.40000 2.33776e-15 4.30631e-17 BessellV
56637.50000 1.76198e-15 2.75883e-16 BessellI
56637.50000 2.21208e-15 4.07479e-16 BessellV
56637.50000 2.33131e-15 3.00610e-16 BessellR
56638.50000 2.10669e-15 7.76132e-17 BessellR
56638.50000 1.75711e-15 1.29469e-16 BessellV
56638.50000 1.65196e-15 1.06506e-16 BessellI
56640.30000 1.63230e-15 3.00681e-17 BessellV
56640.30000 1.45077e-15 4.00864e-17 SDSS_i
